	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HMEC_rep2	all	0	2109.198328523162	30970	0.8967981519227801
1	HMEC_rep2	all	100000	492.6168867268483	30946	0.8967981519227801
2	HMEC_rep2	all	200000	185.099005334703	30922	0.8967981519227801
3	HMEC_rep2	all	300000	117.04130423359024	30898	0.8967981519227801
4	HMEC_rep2	all	400000	82.8878706890244	30874	0.8967981519227801
5	HMEC_rep2	all	500000	62.370755418561515	30850	0.8967981519227801
6	HMEC_rep2	all	600000	49.1139991637625	30826	0.8967981519227801
7	HMEC_rep2	all	700000	39.713391342992864	30802	0.8967981519227801
8	HMEC_rep2	all	800000	32.97488778608495	30778	0.8967981519227801
9	HMEC_rep2	all	900000	27.933888500079735	30754	0.8967981519227801
10	HMEC_rep2	all	1000000	23.95290543023419	30730	0.8967981519227801
11	HMEC_rep2	all	1100000	20.662019240696505	30706	0.8967981519227801
12	HMEC_rep2	all	1200000	18.09725144000761	30682	0.8967981519227801
13	HMEC_rep2	all	1300000	15.902215496498219	30658	0.8967981519227801
14	HMEC_rep2	all	1400000	14.04852404433407	30634	0.8967981519227801
15	HMEC_rep2	all	1500000	12.697070254144958	30610	0.8967981519227801
16	HMEC_rep2	all	1600000	11.553805297928227	30586	0.8967981519227801
17	HMEC_rep2	all	1700000	10.349138184064111	30562	0.8967981519227801
18	HMEC_rep2	all	1800000	9.421781084621564	30538	0.8967981519227801
19	HMEC_rep2	all	1900000	8.627300875365561	30514	0.8967981519227801
20	HMEC_rep2	all	2000000	8.021919503939577	30490	0.8967981519227801
21	HMEC_rep2	all	2100000	7.471755496943837	30466	0.8967981519227801
22	HMEC_rep2	all	2200000	6.992550815683327	30442	0.8967981519227801
23	HMEC_rep2	all	2300000	6.341547371560223	30418	0.8967981519227801
24	HMEC_rep2	all	2400000	6.106392777240343	30394	0.8967981519227801
25	HMEC_rep2	all	2500000	5.5842440379847265	30370	0.8967981519227801
26	HMEC_rep2	all	2600000	5.248021807429131	30346	0.8967981519227801
27	HMEC_rep2	all	2700000	5.0686275742252525	30322	0.8967981519227801
28	HMEC_rep2	all	2800000	4.766268727536229	30298	0.8967981519227801
29	HMEC_rep2	all	2900000	4.482024762733702	30274	0.8967981519227801
30	HMEC_rep2	all	3000000	4.259032255794034	30250	0.8967981519227801
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HMEC_rep1	all	0	1757.360382414006	30970	0.7547376582399217
1	HMEC_rep1	all	100000	515.385982409155	30946	0.7547376582399217
2	HMEC_rep1	all	200000	208.1265681648651	30922	0.7547376582399217
3	HMEC_rep1	all	300000	135.46186118636888	30898	0.7547376582399217
4	HMEC_rep1	all	400000	96.92506829411471	30874	0.7547376582399217
