Sample	BT549	HCC70	HMEC	MB231
Valid_interaction_pairs	427115856	587876634	492430664	235793172
Valid_interaction_pairs_FF	104590847	146709419	122350185	58700189
Valid_interaction_pairs_RR	104600688	146817031	122380179	58732893
Valid_interaction_pairs_RF	96383455	143047050	115610870	57601029
Valid_interaction_pairs_FR	121540866	151303134	132089430	60759061
Dangling_end_pairs	13093604	3202452	11518850	4781048
Religation_pairs	21044611	6050981	14456774	5512275
Self_Cycle_pairs	149066	108816	143779	271698
Single-end_pairs	0	0	0	0
Dumped_pairs	14051	7746	13551	5223
