"symbol","biotype","description"
"ADGRF1",NA,NA
"AFF2","protein_coding","AF4/FMR2 family, member 2"
"ANO10","protein_coding","anoctamin 10"
"ARG2","protein_coding","arginase 2"
"BRCC3","protein_coding","BRCA1/BRCA2-containing complex, subunit 3"
"CCK","protein_coding","cholecystokinin"
"CXCL13","protein_coding","chemokine (C-X-C motif) ligand 13"
"CXCR2","protein_coding","chemokine (C-X-C motif) receptor 2"
"DCAF5","protein_coding","DDB1 and CUL4 associated factor 5"
"DKC1","protein_coding","dyskeratosis congenita 1, dyskerin"
"FAM13A","protein_coding","family with sequence similarity 13, member A"
"GRIP1","protein_coding","glutamate receptor interacting protein 1"
"KALRN","protein_coding","kalirin, RhoGEF kinase"
"LINC00189","sense_overlapping","long intergenic non-protein coding RNA 189"
"MAMLD1","protein_coding","mastermind-like domain containing 1"
"MAPKAPK2","protein_coding","mitogen-activated protein kinase-activated protein kinase 2"
"MBD1","protein_coding","methyl-CpG binding domain protein 1"
"MCC","protein_coding","mutated in colorectal cancers"
"MRPL1","protein_coding","mitochondrial ribosomal protein L1"
"MTM1","protein_coding","myotubularin 1"
"MTSS1","protein_coding","metastasis suppressor 1"
"MYLK","protein_coding","myosin light chain kinase"
"PECR","protein_coding","peroxisomal trans-2-enoyl-CoA reductase"
"PHLDB3","protein_coding","pleckstrin homology-like domain, family B, member 3"
"PSD3","protein_coding","pleckstrin and Sec7 domain containing 3"
"RDH12","protein_coding","retinol dehydrogenase 12 (all-trans/9-cis/11-cis)"
"ROPN1","protein_coding","rhophilin associated tail protein 1"
"SCNN1G","protein_coding","sodium channel, non-voltage-gated 1, gamma subunit"
"SH3TC2","protein_coding","SH3 domain and tetratricopeptide repeats 2"
"TEX28","protein_coding","testis expressed 28"
"TRIM29","protein_coding","tripartite motif containing 29"
"USP31","protein_coding","ubiquitin specific peptidase 31"
"WIF1","protein_coding","WNT inhibitory factor 1"
"ZBTB7C","protein_coding","zinc finger and BTB domain containing 7C"
