"symbol","biotype","description"
"ADAM32","protein_coding","ADAM metallopeptidase domain 32"
"AGXT2","protein_coding","alanine--glyoxylate aminotransferase 2"
"ANKAR","protein_coding","ankyrin and armadillo repeat containing"
"ANKRD44","protein_coding","ankyrin repeat domain 44"
"ARHGAP24","protein_coding","Rho GTPase activating protein 24"
"ARID1B","protein_coding","AT rich interactive domain 1B (SWI1-like)"
"COL5A2","protein_coding","collagen, type V, alpha 2"
"DMD","protein_coding","dystrophin"
"DSEL-AS1",NA,NA
"GIPC2","protein_coding","GIPC PDZ domain containing family, member 2"
"GNG12-AS1","antisense","GNG12 antisense RNA 1"
"GSG1L","protein_coding","GSG1-like"
"HECW2","protein_coding","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
"HLTF","protein_coding","helicase-like transcription factor"
"HS2ST1","protein_coding","heparan sulfate 2-O-sulfotransferase 1"
"HSPE1-MOB4","protein_coding","HSPE1-MOB4 readthrough"
"IL1RAPL1","protein_coding","interleukin 1 receptor accessory protein-like 1"
"KYNU","protein_coding","kynureninase"
"MAPRE2","protein_coding","microtubule-associated protein, RP/EB family, member 2"
"METTL15","protein_coding","methyltransferase like 15"
"MOB4","protein_coding","MOB family member 4, phocein"
"NCKAP1","protein_coding","NCK-associated protein 1"
"NT5E","protein_coding","5'-nucleotidase, ecto (CD73)"
"NUP35","protein_coding","nucleoporin 35kDa"
"PGAP1","protein_coding","post-GPI attachment to proteins 1"
"PMS1","protein_coding","PMS1 postmeiotic segregation increased 1 (S. cerevisiae)"
"PRKCA","protein_coding","protein kinase C, alpha"
"RNGTT","protein_coding","RNA guanylyltransferase and 5'-phosphatase"
"STAG1","protein_coding","stromal antigen 1"
"STAM","protein_coding","signal transducing adaptor molecule (SH3 domain and ITAM motif) 1"
"STK17B","protein_coding","serine/threonine kinase 17b"
"TPTE2","protein_coding","transmembrane phosphoinositide 3-phosphatase and tensin homolog 2"
"ZEB2","protein_coding","zinc finger E-box binding homeobox 2"
"ZNF385B","protein_coding","zinc finger protein 385B"
"ZNF438","protein_coding","zinc finger protein 438"
"ZZZ3","protein_coding","zinc finger, ZZ-type containing 3"
