"symbol","biotype","description"
"ABCA13","protein_coding","ATP-binding cassette, sub-family A (ABC1), member 13"
"ADAMTSL3","protein_coding","ADAMTS-like 3"
"ADRA1A","protein_coding","adrenoceptor alpha 1A"
"ALOX5","protein_coding","arachidonate 5-lipoxygenase"
"ARHGAP20","protein_coding","Rho GTPase activating protein 20"
"ASTN1","protein_coding","astrotactin 1"
"BCL11A","protein_coding","B-cell CLL/lymphoma 11A (zinc finger protein)"
"CYP4A11","protein_coding","cytochrome P450, family 4, subfamily A, polypeptide 11"
"CYP4X1","protein_coding","cytochrome P450, family 4, subfamily X, polypeptide 1"
"ESR1","protein_coding","estrogen receptor 1"
"FAT3","protein_coding","FAT atypical cadherin 3"
"FBN2","protein_coding","fibrillin 2"
"FGF14","protein_coding","fibroblast growth factor 14"
"GRK3",NA,NA
"IL1RAPL2","protein_coding","interleukin 1 receptor accessory protein-like 2"
"MACROD2","protein_coding","MACRO domain containing 2"
"MAGI1","protein_coding","membrane associated guanylate kinase, WW and PDZ domain containing 1"
"MGAM","protein_coding","maltase-glucoamylase (alpha-glucosidase)"
"MIR99AHG",NA,NA
"MLLT3","protein_coding","myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3"
"MPP7","protein_coding","membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)"
"NCKAP5","protein_coding","NCK-associated protein 5"
"NFIA","protein_coding","nuclear factor I/A"
"OR13A1","protein_coding","olfactory receptor, family 13, subfamily A, member 1"
"PARM1","protein_coding","prostate androgen-regulated mucin-like protein 1"
"PKHD1","protein_coding","polycystic kidney and hepatic disease 1 (autosomal recessive)"
"RFPL2","protein_coding","ret finger protein-like 2"
"RGSL1","protein_coding","regulator of G-protein signaling like 1"
"SEMA5A","protein_coding","sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"
"SLC22A3","protein_coding","solute carrier family 22 (organic cation transporter), member 3"
"SOX2-OT","sense_overlapping","SOX2 overlapping transcript (non-protein coding)"
"SULT1B1","protein_coding","sulfotransferase family, cytosolic, 1B, member 1"
"SV2C","protein_coding","synaptic vesicle glycoprotein 2C"
"SYN3","protein_coding","synapsin III"
"SYNE1","protein_coding","spectrin repeat containing, nuclear envelope 1"
"TENM4","protein_coding","teneurin transmembrane protein 4"
"TFAP2D","protein_coding","transcription factor AP-2 delta (activating enhancer binding protein 2 delta)"
"TMEM72-AS1","antisense","TMEM72 antisense RNA 1"
"TRABD2B","protein_coding","TraB domain containing 2B"
"TRMT2B","protein_coding","tRNA methyltransferase 2 homolog B (S. cerevisiae)"
