"gene_id","SYMBOL","log2Average.HMEC","HMEC_rep1","HMEC_rep2","log2Average.TNBC","BT549_rep1","BT549_rep2","HCC70_rep1","HCC70_rep2","MB231_rep1","MB231_rep2","MB231_rep3"
"ENSG00000001626","CFTR",0,0,0,0.114060400698056,0,0,0.0449823761136647,0.0548904928936056,0,0.51385772823232,0.107789208423772
"ENSG00000003096","KLHL13",4.35244036808545,4.21104972357291,4.48120253618281,0.72844325097131,0,0.162589632024633,0.978959639985777,0.808654938681194,0.990186004628807,1.06112047276354,0.751072812409242
"ENSG00000003436","TFPI",0.0839000769121917,0.0656133970608785,0.10195786476499,5.8657620779993,5.24249609885991,5.36138534306727,4.59089452647525,4.36325689835427,6.51069040907533,6.54563846904573,6.64310254179339
"ENSG00000004799","PDK4",0,0,0,1.57539156985043,0.15967100715649,0.447804839763023,1.39320984829925,2.03091587793371,2.02505161632342,2.02334972113051,1.82030293387249
"ENSG00000005513","SOX8",0,0,0,0.212217986415158,0.40614025672177,0.820126508162862,0,0.0265567327994377,0,0,0
"ENSG00000005700","IBTK",4.18032442150473,4.06882307456454,4.28382299379312,4.16589164399098,4.2621032799074,4.34855310816586,3.34114670691866,3.38147781244738,4.34892776703693,4.41429970741611,4.57484856733513
"ENSG00000006194","ZNF263",3.97286586925857,4.02878515703998,3.91469142922204,4.75351436787335,4.95626355423917,4.57733350026244,4.65430496039159,4.73257377153569,4.764764472502,4.83771554966128,4.71995132341253
"ENSG00000007376","RPUSD1",4.49356406198358,4.42213984634769,4.56161842112353,5.32204683745139,5.45984419452553,5.02073219648143,5.20451970708435,5.21453000106281,5.43378872959247,5.59796091769522,5.24351330067805
"ENSG00000015153","YAF2",4.09918447043641,4.39351975748544,3.72899367684796,4.7953628597637,5.30361498392824,4.65829762351382,4.17485634361543,3.91645401295799,4.91139384540037,5.07302556046671,5.03183371563612
"ENSG00000023572","GLRX2",4.54303141038227,4.59106735526262,4.49334081016048,5.98013863283898,6.2458906372251,5.9354933567121,5.42108495915333,5.17247608164183,6.17499909969109,6.2569491435014,6.26941634282409
"ENSG00000033011","ALG1",4.69029459552917,4.67363988525802,4.70675923321178,5.28892224222237,5.94473840657921,5.62884324426981,5.16437647829038,5.22760529835893,4.8687271723563,4.94951272898464,4.86507811486836
