gene_id	symbol	BT549_rep1	BT549_rep2	HCC70_rep1	HCC70_rep2	HMEC_rep1	HMEC_rep2	MB231_rep1	MB231_rep2	MB231_rep3
ENSG00000000003	TSPAN6	473	421	1463	1407	682	553	644	772	655
ENSG00000000005	TNMD	0	0	1	0	0	0	0	1	0
ENSG00000000419	DPM1	1387	1183	772	633	931	701	986	1202	1216
ENSG00000000457	SCYL3	191	196	724	553	194	171	167	202	187
ENSG00000000460	C1orf112	769	671	907	894	391	264	500	585	558
ENSG00000000938	FGR	0	0	8	11	0	2	0	10	6
ENSG00000000971	CFH	228	389	66	43	191	345	620	687	677
ENSG00000001036	FUCA2	3041	3260	2062	1609	977	1016	2882	3361	3005
ENSG00000001084	GCLC	671	653	2269	1876	1690	1211	760	937	847
ENSG00000001167	NFYA	1310	1145	735	681	790	807	714	852	791
ENSG00000001460	STPG1	57	87	597	479	393	396	100	158	147
ENSG00000001461	NIPAL3	163	235	3710	3530	2142	2501	618	778	663
ENSG00000001497	LAS1L	2132	1866	1283	967	973	882	1419	1656	1429
ENSG00000001561	ENPP4	690	583	724	648	26	17	0	0	0
ENSG00000001617	SEMA3F	1000	1374	3371	2362	4149	5065	183	205	176
ENSG00000001626	CFTR	0	0	4	3	0	0	0	2	4
ENSG00000001629	ANKIB1	1935	1988	2928	2755	2102	2117	732	972	986
ENSG00000001630	CYP51A1	2310	1929	5643	4314	6963	5597	1440	1724	1704
ENSG00000001631	KRIT1	740	683	1613	1489	771	664	469	623	565
ENSG00000002016	RAD52	112	97	212	199	184	150	146	178	173
ENSG00000002079	MYH16	0	0	12	12	79	133	1	0	1
ENSG00000002330	BAD	962	843	574	416	1031	759	348	416	333
ENSG00000002549	LAP3	1990	2391	1239	856	1418	1103	874	1116	956
ENSG00000002586	CD99	1976	2370	910	777	1063	852	1699	1994	1604
ENSG00000002587	HS3ST1	84	107	281	237	453	256	21	21	21
ENSG00000002726	AOC1	0	1	0	0	0	0	0	0	0
ENSG00000002745	WNT16	1	0	0	0	0	0	1	0	0
ENSG00000002746	HECW1	267	278	2	3	1	5	121	153	109
ENSG00000002822	MAD1L1	873	762	987	873	616	489	641	692	597
ENSG00000002834	LASP1	5487	4575	7705	6747	7033	6754	4560	5682	4972
ENSG00000002919	SNX11	267	256	367	274	577	448	356	452	383
ENSG00000002933	TMEM176A	1	0	0	4	0	0	0	0	1
ENSG00000003056	M6PR	6014	5178	3981	3391	2831	2377	2341	2792	2564
ENSG00000003096	KLHL13	0	6	59	45	784	454	33	44	26
ENSG00000003137	CYP26B1	18	27	138	55	97	132	219	263	259
ENSG00000003147	ICA1	0	0	156	144	17	11	0	0	0
ENSG00000003249	DBNDD1	204	273	2253	1935	92	138	149	178	119
ENSG00000003393	ALS2	1121	907	583	518	1507	1373	341	430	390
ENSG00000003400	CASP10	0	2	777	602	168	179	2	2	2
ENSG00000003402	CFLAR	1181	924	2075	1969	1155	1214	538	618	599
ENSG00000003436	TFPI	1091	1053	754	591	3	4	1364	1593	1615
ENSG00000003509	NDUFAF7	233	235	198	179	229	189	265	309	317
ENSG00000003756	RBM5	1872	1880	1569	1441	1777	1629	1956	2333	2300
ENSG00000003987	MTMR7	0	5	0	0	0	0	5	22	19
ENSG00000003989	SLC7A2	47	68	2	0	1	1	237	285	272
ENSG00000004059	ARF5	1269	1259	3626	3019	2942	2127	1706	2157	1740
ENSG00000004139	SARM1	307	334	22	17	93	110	48	93	75
ENSG00000004142	POLDIP2	1928	1793	2161	1573	2306	1719	2296	2737	2342
ENSG00000004399	PLXND1	97	317	3646	2579	73	46	2930	3617	2888
ENSG00000004455	AK2	7444	6850	6904	5621	3003	2211	3928	4654	4193
ENSG00000004468	CD38	44	60	109	75	1	1	0	0	0
ENSG00000004478	FKBP4	5321	4722	7979	5603	4861	3461	2834	3305	3086
ENSG00000004487	KDM1A	5699	4814	4214	3490	2630	2404	4968	5776	5360
ENSG00000004534	RBM6	1540	1475	800	708	1476	1279	1489	1694	1581
ENSG00000004660	CAMKK1	80	85	82	64	83	68	438	528	465
ENSG00000004700	RECQL	2526	2167	1236	950	2261	1940	1122	1352	1316
ENSG00000004766	CCDC132	564	473	974	907	464	400	363	445	511
ENSG00000004776	HSPB6	8	10	10	9	1	2	8	4	7
ENSG00000004777	ARHGAP33	342	455	583	499	109	84	59	68	53
ENSG00000004779	NDUFAB1	1177	943	1281	962	886	492	588	710	677
ENSG00000004799	PDK4	7	15	96	157	0	0	114	133	102
ENSG00000004809	SLC22A16	0	1	0	0	0	0	0	0	0
ENSG00000004838	ZMYND10	65	77	28	32	5	4	29	35	31
ENSG00000004846	ABCB5	0	0	0	0	0	0	0	0	0
ENSG00000004848	ARX	0	1	0	0	0	1	0	0	0
ENSG00000004864	SLC25A13	1399	1205	1034	875	1383	1113	1316	1537	1394
ENSG00000004866	ST7	546	462	1146	980	518	393	387	427	428
ENSG00000004897	CDC27	2146	1906	1804	1621	3282	2731	1652	2143	2125
ENSG00000004939	SLC4A1	0	0	0	0	0	0	0	1	1
ENSG00000004948	CALCR	0	0	0	0	0	0	0	0	0
ENSG00000004961	HCCS	1134	926	797	696	746	635	667	807	729
ENSG00000004975	DVL2	1426	1579	840	663	546	368	841	985	833
ENSG00000005001	PRSS22	1	0	940	955	138	96	8	3	9
ENSG00000005007	UPF1	2135	1771	4006	3826	2892	2722	3501	4236	3540
ENSG00000005020	SKAP2	511	472	2331	1830	1079	1036	524	578	625
ENSG00000005022	SLC25A5	17765	14584	12042	10009	6668	4568	5346	6214	5475
ENSG00000005059	CCDC109B	741	687	874	702	441	317	339	351	304
ENSG00000005073	HOXA11	91	106	0	0	19	26	692	871	811
ENSG00000005075	POLR2J	861	692	1243	973	650	480	958	1184	1027
ENSG00000005100	DHX33	2124	1734	391	393	1154	1006	1389	1709	1688
ENSG00000005102	MEOX1	11	5	0	0	0	0	10	12	19
ENSG00000005108	THSD7A	0	0	35	34	0	0	0	0	0
ENSG00000005156	LIG3	496	434	619	498	611	450	503	605	551
ENSG00000005175	RPAP3	890	695	744	612	786	585	1036	1225	1229
ENSG00000005187	ACSM3	0	0	1	1	1	5	2	3	1
ENSG00000005189	AC004381.6	326	276	261	179	79	53	143	154	162
ENSG00000005194	CIAPIN1	1674	1188	1979	1592	1609	1167	1551	1835	1651
ENSG00000005206	SPPL2B	951	1143	533	543	528	659	862	1062	776
ENSG00000005238	FAM214B	1773	1684	708	570	1309	1351	155	195	169
ENSG00000005243	COPZ2	137	140	312	203	538	524	4	1	2
ENSG00000005249	PRKAR2B	41	62	1355	2015	15	4	0	0	0
ENSG00000005302	MSL3	911	795	681	599	871	644	499	596	570
ENSG00000005339	CREBBP	2499	2252	4786	4407	1399	1655	1863	2445	2089
