"Subset","Detail","biotype","description"
"AA_BA_UP","HLTF","protein_coding","helicase-like transcription factor"
"AA_BA_UP","MAPRE2","protein_coding","microtubule-associated protein, RP/EB family, member 2"
"AA_BA_UP","CAMK1D","protein_coding","calcium/calmodulin-dependent protein kinase ID"
"AA_BA_UP","DTNA","protein_coding","dystrobrevin, alpha"
"BA_UP","PTPRJ","protein_coding","protein tyrosine phosphatase, receptor type, J"
"BA_UP","NCAPG2","protein_coding","non-SMC condensin II complex, subunit G2"
"BA_UP","DDAH1","protein_coding","dimethylarginine dimethylaminohydrolase 1"
"BA_UP","XRCC2","protein_coding","X-ray repair complementing defective repair in Chinese hamster cells 2"
"BA_UP","ITPR1","protein_coding","inositol 1,4,5-trisphosphate receptor, type 1"
"BA_UP","NUF2","protein_coding","NUF2, NDC80 kinetochore complex component"
"BA_UP","RGS5","protein_coding","regulator of G-protein signaling 5"
"BA_UP","PDK4","protein_coding","pyruvate dehydrogenase kinase, isozyme 4"
"BA_UP","LMF1","protein_coding","lipase maturation factor 1"
"BA_UP","TFPI","protein_coding","tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)"
"BA_UP","CDON","protein_coding","cell adhesion associated, oncogene regulated"
"BA_UP","KIAA0319","protein_coding","KIAA0319"
"BA_UP","SCCPDH","protein_coding","saccharopine dehydrogenase (putative)"
"BA_UP","TMPO-AS1","antisense","TMPO antisense RNA 1"
"BA_UP","AR","protein_coding","androgen receptor"
"AB_UP","TTC13","protein_coding","tetratricopeptide repeat domain 13"
"BB_UP","TRPA1","protein_coding","transient receptor potential cation channel, subfamily A, member 1"
"BB_UP","IFI44","protein_coding","interferon-induced protein 44"
"AA_UP","DAPK1","protein_coding","death-associated protein kinase 1"
"AA_UP","LAGE3","protein_coding","L antigen family, member 3"
"AA_UP","ABCD1","protein_coding","ATP-binding cassette, sub-family D (ALD), member 1"
"AA_UP","CCDC88C","protein_coding","coiled-coil domain containing 88C"
