BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	110080000	110090000	chr1	110310000	110320000	0.002745139297907124	2.111212657236631
chr1	110090000	110100000	chr1	110540000	110550000	0.0016805055737978524	2.111212657236631
chr1	110090000	110100000	chr1	110170000	110180000	0.004513066845262689	2.111212657236631
chr1	110180000	110190000	chr1	110310000	110320000	7.457835221155332e-05	2.111212657236631
chr1	110180000	110190000	chr1	110530000	110540000	5.639989805783025e-05	2.111212657236631
chr1	110320000	110330000	chr1	110520000	110530000	9.846445024330741e-07	2.111212657236631
chr1	110590000	110600000	chr1	111010000	111020000	0.03170527816593378	3.2
chr1	110740000	110750000	chr1	111010000	111020000	5.448017531617388e-06	2.111212657236631
chr1	110750000	110760000	chr1	110850000	110860000	3.4720038041914847e-06	2.111212657236631
chr1	111070000	111080000	chr1	111310000	111320000	0.042260782510698446	2.111212657236631
chr1	111160000	111170000	chr1	111310000	111320000	2.325964857236018e-05	2.111212657236631
chr1	111320000	111330000	chr1	111870000	111880000	0.03788003928705936	2.111212657236631
chr1	111760000	111770000	chr1	111950000	111960000	0.008048472775870244	2.111212657236631
chr1	111760000	111770000	chr1	111870000	111880000	6.039870279543487e-06	2.111212657236631
chr1	112020000	112030000	chr1	112300000	112310000	1.396663406910692e-05	2.111212657236631
chr1	112020000	112030000	chr1	112900000	112910000	0.002558792184623565	2.111212657236631
chr1	112040000	112050000	chr1	112190000	112200000	7.353036378310752e-05	2.111212657236631
chr1	112330000	112340000	chr1	112520000	112530000	0.006136812911146923	2.111212657236631
chr1	112330000	112340000	chr1	112900000	112910000	3.390073501523016e-05	2.111212657236631
chr1	112340000	112350000	chr1	112740000	112750000	0.0101870872545041	2.111212657236631
chr1	112530000	112540000	chr1	112880000	112890000	0.021328690498357703	2.111212657236631
chr1	112930000	112940000	chr1	113150000	113160000	0.00043855930952031757	2.111212657236631
chr1	112930000	112940000	chr1	113240000	113250000	0.0016004378136997178	2.111212657236631
chr1	113260000	113270000	chr1	113340000	113350000	1.2378213154029539e-06	2.111212657236631
chr1	113260000	113270000	chr1	113620000	113630000	0.01249811046050063	2.111212657236631
chr1	113350000	113360000	chr1	113600000	113610000	0.0011246977812478978	2.111212657236631
chr1	113420000	113430000	chr1	113590000	113600000	0.00038804712562639615	2.111212657236631
chr1	113640000	113650000	chr1	114320000	114330000	0.04586365443423517	2.599207668339954
chr1	113660000	113670000	chr1	114490000	114500000	0.007050983629897336	2.111212657236631
chr1	113680000	113690000	chr1	114210000	114220000	7.457835221155332e-05	2.111212657236631
chr1	113680000	113690000	chr1	114000000	114010000	0.01019318066144568	2.111212657236631
chr1	113750000	113760000	chr1	114220000	114230000	0.01695274063147887	2.111212657236631
chr1	113930000	113940000	chr1	114210000	114220000	0.04812401541398107	2.111212657236631
chr1	114000000	114010000	chr1	114210000	114220000	0.029610193837699184	2.111212657236631
chr1	114370000	114380000	chr1	114460000	114470000	0.0036918347036169856	2.599207668339954
chr1	114510000	114520000	chr1	114950000	114960000	0.00022827084650715285	2.111212657236631
chr1	114520000	114530000	chr1	114820000	114830000	4.067678840357636e-05	2.111212657236631
chr1	114890000	114900000	chr1	115090000	115100000	0.027937344009200858	2.111212657236631
chr1	115300000	115310000	chr1	115490000	115500000	0.01707377037204744	2.111212657236631
chr1	115520000	115530000	chr1	115650000	115660000	0.00043855930952031757	2.111212657236631
chr1	115520000	115530000	chr1	116120000	116130000	0.0037162851174411585	2.111212657236631
chr1	115590000	115600000	chr1	116130000	116140000	0.002346549476804845	2.111212657236631
chr1	115670000	115680000	chr1	116040000	116050000	0.04423777976072717	5.571523605095194
chr1	115670000	115680000	chr1	116130000	116140000	0.0005138129537778659	2.111212657236631
chr1	115680000	115690000	chr1	116000000	116010000	0.0007041894562451977	2.111212657236631
chr1	116010000	116020000	chr1	116130000	116140000	0.01869474166636878	2.111212657236631
chr1	116150000	116160000	chr1	116300000	116310000	2.325964857236018e-05	2.111212657236631
chr1	116160000	116170000	chr1	116240000	116250000	0.03745327948209763	2.111212657236631
chr1	116330000	116340000	chr1	117040000	117050000	0.021404161586756672	2.111212657236631
chr1	116340000	116350000	chr1	116530000	116540000	3.801183864024196e-05	2.111212657236631
chr1	116680000	116690000	chr1	116940000	116950000	0.003280679119666055	2.111212657236631
chr1	116680000	116690000	chr1	117030000	117040000	9.846445024330741e-07	2.111212657236631
chr1	116680000	116690000	chr1	117100000	117110000	0.02245209967000391	2.111212657236631
chr1	116900000	116910000	chr1	117020000	117030000	0.0037162851174411585	2.111212657236631
chr1	117120000	117130000	chr1	117590000	117600000	0.00038804712562639615	2.599207668339954
chr1	117280000	117290000	chr1	117350000	117360000	0.0005138129537778659	2.111212657236631
