"","HMECchr","HMECstart","HMECend","HMECEV","HMECcompartment","BT549chr","BT549start","BT549end","BT549EV","BT549compartment","D.EV","compartment","sample_maha","padj"
"1","chr1",0,100000,0.98288,"A","chr1",0,100000,-11.75294,"B",-12.73582,"AB",0.211398933790496,1
"2","chr1",100000,200000,1.64492,"A","chr1",100000,200000,-16.218235,"B",-17.863155,"AB",2.05653023423947,0.687360913630231
"3","chr1",200000,300000,7.513485,"A","chr1",200000,300000,-14.728735,"B",-22.24222,"AB",2.55301926555929,0.511508640599976
"4","chr1",500000,600000,-36.263625,"B","chr1",500000,600000,-5.77206,"B",30.491565,"BB",1.78714739679101,0.772708721215567
"5","chr1",600000,700000,15.727925,"A","chr1",600000,700000,-0.32149,"B",-16.049415,"AB",0.00321379671019947,1
"6","chr1",700000,800000,25.74969,"A","chr1",700000,800000,13.69156,"A",-12.05813,"AA",0.00053100319600503,1
"7","chr1",800000,900000,40.898105,"A","chr1",800000,900000,31.57117,"A",-9.326935,"AA",0.00417504723305004,1
"8","chr1",900000,1000000,48.12164,"A","chr1",900000,1000000,35.61619,"A",-12.50545,"AA",2.63750817419934e-09,1
"9","chr1",1000000,1100000,41.725095,"A","chr1",1000000,1100000,30.01108,"A",-11.714015,"AA",0.00042973439918646,1
"10","chr1",1100000,1200000,46.07589,"A","chr1",1100000,1200000,35.914545,"A",-10.161345,"AA",0.00042633992543052,1
"11","chr1",1200000,1300000,44.629495,"A","chr1",1200000,1300000,36.851975,"A",-7.77752,"AA",0.00467832833936514,1
"12","chr1",1300000,1400000,53.96927,"A","chr1",1300000,1400000,41.74499,"A",-12.22428,"AA",3.3528628307131e-05,1
"13","chr1",1400000,1500000,50.480945,"A","chr1",1400000,1500000,34.601285,"A",-15.87966,"AA",0.00149256141416567,1
"14","chr1",1500000,1600000,50.572355,"A","chr1",1500000,1600000,38.60675,"A",-11.965605,"AA",2.83551304114438e-09,1
"15","chr1",1600000,1700000,44.849715,"A","chr1",1600000,1700000,32.775055,"A",-12.07466,"AA",3.5757319048393e-05,1
"16","chr1",1700000,1800000,43.37598,"A","chr1",1700000,1800000,39.02899,"A",-4.34699,"AA",0.0404582626285114,1
"17","chr1",1800000,1900000,43.72063,"A","chr1",1800000,1900000,38.298035,"A",-5.422595,"AA",0.0205567457379938,1
"18","chr1",1900000,2000000,38.055695,"A","chr1",1900000,2000000,32.80432,"A",-5.251375,"AA",0.0546688291986097,1
"19","chr1",2000000,2100000,36.865285,"A","chr1",2000000,2100000,29.920655,"A",-6.94463,"AA",0.0220457983795943,1
"20","chr1",2100000,2200000,34.852765,"A","chr1",2100000,2200000,40.84276,"A",5.989995,"AA",1.56378752320636,0.893718846022254
"21","chr1",2200000,2300000,21.72882,"A","chr1",2200000,2300000,28.47345,"A",6.74463,"AA",1.48037299149105,0.777022515153875
"22","chr1",2300000,2400000,23.78069,"A","chr1",2300000,2400000,26.60822,"A",2.82753,"AA",0.674929638371916,1
"23","chr1",2400000,2500000,22.73794,"A","chr1",2400000,2500000,24.50399,"A",1.76605,"AA",0.53229362163103,1
"24","chr1",2500000,2600000,-3.247155,"B","chr1",2500000,2600000,5.90101,"A",9.148165,"BA",0.382544354517063,1
"25","chr1",2600000,2700000,-6.516015,"B","chr1",2600000,2700000,-9.52566,"B",-3.009645,"BB",0.00104319730108912,1
"26","chr1",2700000,2800000,-17.35289,"B","chr1",2700000,2800000,-11.590205,"B",5.762685,"BB",4.20874059746454e-06,1
"27","chr1",2800000,2900000,-11.668155,"B","chr1",2800000,2900000,-6.572625,"B",5.09553,"BB",3.58464298091631e-05,1
"28","chr1",2900000,3000000,-17.478895,"B","chr1",2900000,3000000,-7.789185,"B",9.68971,"BB",0.0007397644817364,1
"29","chr1",3000000,3100000,-19.43594,"B","chr1",3000000,3100000,-1.053225,"B",18.382715,"BB",0.390053464419917,1
"30","chr1",3100000,3200000,-21.319435,"B","chr1",3100000,3200000,-0.19302,"B",21.126415,"BB",0.880663389953307,1
"31","chr1",3200000,3300000,-15.00718,"B","chr1",3200000,3300000,6.50892,"A",21.5161,"BA",2.77527638756426,0.645968268560225
