genes	logFC	logCPM	F	PValue	FDR	symbol	description	biotype	log2Average.HMEC	log2Average.TNBC	BT549_rep1	BT549_rep2	HCC70_rep1	HCC70_rep2	HMEC_rep1	HMEC_rep2	MB231_rep1	MB231_rep2	MB231_rep3
ENSG00000260027	6.991554495588513	3.729346442966384	271.7734330770165	6.615171160834873e-8	1.0534960763227755e-4	HOXB7	homeobox B7	protein_coding	0.17399636229923734	4.417032154210405	4.183112241668295	4.2943602210583	4.1742944645041495	4.423868838494992	0.12390527092897873	0.2224064674785945	4.652090073612768	4.514649148866864	4.598891573222961
ENSG00000171130	4.55195955218848	4.976548603262872	201.019596503216	2.3786254443109112e-7	2.1908886331081966e-4	ATP6V0E2	ATPase, H+ transporting V0 subunit e2	protein_coding	1.6026157627223965	5.575560737147205	5.713028414384475	5.554640479384981	5.46287670497349	5.122597577980517	2.0545776199535575	0.9408424497806288	5.694135488222931	5.624160786833671	5.763447850053143
ENSG00000149177	5.003806888019472	5.148915397504695	167.8731656068304	5.075851584357735e-7	3.4199526174914926e-4	PTPRJ	protein tyrosine phosphatase, receptor type, J	protein_coding	0.38695073711431444	3.809599681700188	3.6397010965815815	3.3377157631482457	3.1319805493071504	3.350780389414097	0.3764244679768225	0.39740075989782997	4.178233257586986	4.277493238287071	4.256466507655101
ENSG00000147889	3.219748235843306	8.187265799506731	162.12721441461179	5.872721384570435e-7	3.674226186246603e-4	CDKN2A	cyclin-dependent kinase inhibitor 2A	protein_coding	6.347637638693842	9.555871000301812	9.56203572389335	9.67712104440752	9.719647163285762	9.748822246045995	6.395486892574804	6.298146787114787	9.433605180675913	9.385012718616874	9.300321755275217
ENSG00000182752	5.081353029406452	5.498986359457406	160.2632705383979	6.344919613780639e-7	3.8327690273865254e-4	PAPPA	pregnancy-associated plasma protein A, pappalysin 1	protein_coding	0.23365213797704742	3.358500794123778	3.747664932744975	3.500661849470548	3.4136666343111495	3.307539909533186	0.2358080018313882	0.23149304772671545	3.1389925659365696	3.2560859797635593	3.022448725878195
ENSG00000175567	6.735424768635954	5.994592361953536	149.38049388471308	9.227601578963787e-7	4.799518840849934e-4	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	protein_coding	0.7619599257576752	6.544464524233073	5.737391348798145	5.587173151045513	6.051115497232125	5.999551207012939	0.6928480431242009	0.8279118253746658	7.154759747934065	7.317280298474729	6.903375308799769
ENSG00000069011	3.7583022793664975	7.22960701364198	131.99540675286084	1.3868425873985817e-6	6.22941242206368e-4	PITX1	paired-like homeodomain 1	protein_coding	3.135252795974071	7.033378609141634	7.137621133133548	7.088121260016658	6.507212410263509	6.595452112964842	2.6656133291074555	3.4889768905330425	7.249636914828613	7.294314101295153	7.16276951909026
ENSG00000101187	10.944162129843177	5.59149342228047	131.11681941497426	1.5761316978990456e-6	6.640362449651879e-4	SLCO4A1	solute carrier organic anion transporter family, member 4A1	protein_coding	0.018011323045164625	5.39682734683379	5.0924823672028134	5.377129060569193	4.327502377205772	4.476969194965521	0	0.03580055363137613	5.94394139293333	5.878735623818482	5.820027587854084
ENSG00000101057	3.039286641849193	8.360044390439773	127.75272344202375	1.5820407262008696e-6	6.640362449651879e-4	MYBL2	v-myb avian myeloblastosis viral oncogene homolog-like 2	protein_coding	4.575149026614522	7.806355497486336	7.644117990563651	7.441123737848435	7.892064824191327	7.945256038147198	4.76605331513352	4.355074395244734	7.936475270203707	7.906148564376003	7.808861381640134
ENSG00000087086	3.433863643371722	10.181284713491468	121.38032546712307	1.9539019721923277e-6	7.606323277525599e-4	FTL	ferritin, light polypeptide	protein_coding	7.8688023267740546	11.543814510094307	11.074721684332182	11.48455639511559	11.719776114674854	11.720203276650281	7.97973200268475	7.7486273963079855	11.573333664215475	11.579360571620096	11.561648552105243
ENSG00000185630	2.17419224994224	6.028782644115276	110.1117815160237	2.915334731730588e-6	9.63600638310499e-4	PBX1	pre-B-cell leukemia homeobox 1	protein_coding	2.283177079451881	4.817579928239308	4.404165995286458	4.341610715902477	4.605901498155769	4.427973277228846	2.170131290889295	2.388004935011238	4.949787778420769	5.340494738001108	5.272258247814215
ENSG00000130303	6.169281951230921	7.222056329544077	104.30635161236881	3.992354695420612e-6	0.001052284675118648	BST2	bone marrow stromal cell antigen 2	protein_coding	2.498273544440652	8.553741382287152	7.414103659730467	8.205024774098927	8.727896887264723	8.633747328965269	2.8849134052005723	1.9684824900571325	8.806778248936421	8.78956333763858	8.824243387648975
ENSG00000158106	3.4557411255433945	3.7383028669792724	96.17668618730477	5.0599339124881856e-6	0.0011663147668285268	RHPN1	rhophilin, Rho GTPase binding protein 1	protein_coding	0.6458650913936095	3.2622384778389333	2.8150122116517498	2.9112496886246877	3.231972599591083	3.3587287021393446	0.5621393160723432	0.7249972690250647	3.6142890523331963	3.4588840113348933	3.2790039006198093
ENSG00000003436	8.294884588037634	5.48435400501933	96.51574455397962	5.455277542818114e-6	0.001241111064871269	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	protein_coding	0.08390007691219172	5.865762077999303	5.24249609885991	5.361385343067268	4.590894526475255	4.363256898354271	0.06561339706087853	0.10195786476498978	6.510690409075329	6.545638469045734	6.643102541793391
ENSG00000100350	2.6798705797716607	5.905331433328633	92.92769920411851	5.815462887702644e-6	0.001295998930222307	FOXRED2	FAD-dependent oxidoreductase domain containing 2	protein_coding	2.1687688526165223	4.92421299874709	5.208957171891528	5.077600879730838	4.6756431097097755	4.64950398132759	2.1789398637223094	2.158525626386	4.954525703778123	5.087542498904241	4.706920369096631
ENSG00000101412	2.9444361249177176	5.904763540548665	92.15486234941737	6.015169380255423e-6	0.0013171717150414312	E2F1	E2F transcription factor 1	protein_coding	2.4890905703520643	5.4753194028229295	5.191021288255724	4.8715025414856	5.1863764670168475	5.130141678835581	2.6705159274147716	2.2815233239136736	5.908026814662088	5.915772945022928	5.748346536773355
ENSG00000137834	4.935113971854174	4.011782018140898	84.95443668398984	8.432679595729975e-6	0.001586473921938545	SMAD6	SMAD family member 6	protein_coding	0.5266548740090049	4.314902467781301	4.970478821716029	4.816267057183555	4.078492144561055	3.8615523123115487	0.6764556660764189	0.3594780300835237	3.734789421223571	4.193062077167681	4.0669272463207715
ENSG00000075702	1.6314149457224032	5.532304577897896	71.80312084275565	1.6318050957497203e-5	0.0023912558633192287	WDR62	WD repeat domain 62	protein_coding	2.429502605245699	4.15416387316081	3.9218372326736355	3.8144899824042278	4.047734714702797	4.09032085373427	2.518997889827329	2.3340862983844075	4.336961161695893	4.361805844489471	4.39666369592658
ENSG00000072071	2.873160646371557	5.72627612435946	72.1651182975659	1.6349151248717688e-5	0.0023912558633192287	LPHN1	latrophilin 1	protein_coding	2.0575738460905098	4.802010408459678	4.396318215395467	4.771824322567723	5.017231763123519	4.877400233665203	1.974374330022959	2.1362357782676957	4.793784616993683	4.886127669918581	4.7976046318976175
ENSG00000146918	1.9393116383678173	7.302752531945253	71.76823221895025	1.634943807777002e-5	0.0023912558633192287	NCAPG2	non-SMC condensin II complex, subunit G2	protein_coding	4.615619748946718	6.359757073942387	6.343683501885689	5.872236172249151	6.422625908867514	6.464181845158908	4.699362198643081	4.5267152226233875	6.406259825964131	6.446621356397568	6.475330722265425
ENSG00000106266	2.5185174065797074	5.96141372208453	71.028101504621	1.703574585079344e-5	0.0023912558633192287	SNX8	sorting nexin 8	protein_coding	3.742416505416127	6.512598147397054	6.96972459944915	6.733130469274783	6.167042832866525	6.136704500092501	3.61591051839488	3.8587182971687084	6.586830933807481	6.5052252851534735	6.289452300517848
ENSG00000152078	5.066254484178815	4.556749801840627	71.60439563632875	1.780530263052643e-5	0.0023912558633192287	TMEM56	transmembrane protein 56	protein_coding	0.21919684869969247	3.4101845699047195	4.193991189917494	3.660038899338334	2.3181601172487905	2.866760780217614	0.2508381786253858	0.18684596696583597	2.859775081279436	3.6389413389804868	3.520348793071498
ENSG00000103024	1.7430941631159154	4.8520700904413365	70.22773189610477	1.781236350738334e-5	0.0023912558633192287	NME3	NME/NM23 nucleoside diphosphate kinase 3	protein_coding	4.312589487068141	6.144935263632357	6.108496208653979	6.172541381691945	5.8101645807325	5.969586695588609	4.392681020318701	4.227788953180988	6.3687467816613905	6.312852312709396	6.195831359110195
ENSG00000165185	2.8747308018237323	3.584570851305634	69.85243190175906	1.819282552674538e-5	0.0023912558633192287	KIAA1958	KIAA1958	protein_coding	0.5072749946981149	2.1398389551871575	2.2888252722331552	2.134018609215262	2.028134454516309	1.8368988570668112	0.4177633239446217	0.5915558972294787	2.0044436899192113	2.3808156813101307	2.2333051657728507
ENSG00000213160	3.1211797266937373	3.845378280781725	69.50110152391989	1.85580709495738e-5	0.0023936886597374384	KLHL23	kelch-like family member 23	protein_coding	0.7697785823750163	3.205608672760316	3.257595061478626	3.0038829459149046	3.595729743083019	3.7070835790509924	0.85596155496922	0.6781183245225846	2.824067874117222	2.8795738320511983	2.887808084592477
ENSG00000134780	2.923255867980406	3.43024134832867	68.54495810102583	1.9598678538611245e-5	0.0024353823214228344	DAGLA	diacylglycerol lipase, alpha	protein_coding	0.43071779965007057	2.0296208608033988	1.8567292351128875	1.829027446569047	2.1351783824079544	2.1000191539755635	0.37559318838018996	0.4838134177987142	2.133595822786955	2.1369194438095804	1.9780543650593532
ENSG00000138821	1.9915310362642966	6.292175253888682	68.00506668952026	2.0217951012746404e-5	0.0024353823214228344	SLC39A8	solute carrier family 39 (zinc transporter), member 8	protein_coding	3.3374904263917435	5.4645876420757125	5.610267687343424	5.783506535742496	5.158638816526064	5.073083634531283	3.346891153276144	3.3280280415617987	5.421122961677875	5.50396893644207	5.571757487979081
ENSG00000100105	1.854760966413168	4.801098152786589	67.94118251182675	2.0292808310520383e-5	0.0024353823214228344	PATZ1	POZ (BTB) and AT hook containing zinc finger 1	protein_coding	2.2006986435924443	4.0253581824168565	3.664946568932778	3.6548627206927553	3.9635549511787707	3.8432915685733398	2.126275615647399	2.2714700784248385	4.290093645201599	4.320126911686114	4.26406128738714
ENSG00000198794	4.550591420907014	2.7420165791341193	67.33518830716999	2.1020096618078286e-5	0.0024450383333596793	SCAMP5	secretory carrier membrane protein 5	protein_coding	0.2689417230560484	2.5628689475500632	2.4290726379959233	2.40473508629116	3.062239419908146	2.7614495112198094	0.34521010289514314	0.18841524705770446	2.328504034626053	2.340216215249633	2.4491051060461277
ENSG00000180818	2.0833228343825603	5.582530987940083	64.76913432887152	2.4478644978887158e-5	0.0026969616524537433	HOXC10	homeobox C10	protein_coding	4.06344512080257	6.355538475677175	5.9795829030602015	6.324360546779741	5.96203547069153	6.140376047012003	3.9159640912804377	4.197238202143153	6.756054804677771	6.629112356019339	6.492093868015665
ENSG00000160949	1.5866717668194066	5.854884783095861	64.20539487591728	2.5329916938622765e-5	0.002756083757334122	TONSL	tonsoku-like, DNA repair protein	protein_coding	2.741452047082389	4.368217527748097	4.194659928302134	4.133876193154062	4.248789354398042	4.371027078733156	2.933389824177581	2.5200021544547857	4.580707322117065	4.535569946063957	4.451042496440149
