"","HMECchr","HMECstart","HMECend","HMECEV","HMECcompartment","BT549chr","BT549start","BT549end","BT549EV","BT549compartment","D.EV","compartment","sample_maha","padj"
"1","chr1",12500000,12600000,-11.809675,"B","chr1",12500000,12600000,21.538025,"A",33.3477,"BA",26.0082952377905,8.06328945352407e-06
"2","chr1",12600000,12700000,-9.633445,"B","chr1",12600000,12700000,19.74225,"A",29.375695,"BA",17.7783830733793,0.00029755473726678
"3","chr1",13600000,13700000,0.264205,"A","chr1",13600000,13700000,-20.993795,"B",-21.258,"AB",7.14054108023423,0.0711843603029579
"4","chr1",20100000,20200000,44.97871,"A","chr1",20100000,20200000,0.00328499999999998,"A",-44.975425,"AA",12.7493854761116,0.00383587226165808
"5","chr1",20200000,20300000,40.795765,"A","chr1",20200000,20300000,-1.19281,"B",-41.988575,"AB",8.40298469560294,0.0272500825325279
"6","chr1",20300000,20400000,39.5281,"A","chr1",20300000,20400000,-6.058585,"B",-45.586685,"AB",19.5154746731443,0.0001414624325957
"7","chr1",20400000,20500000,39.753135,"A","chr1",20400000,20500000,-4.13714,"B",-43.890275,"AB",13.2968111701738,0.0028264016176542
"8","chr1",20500000,20600000,39.22567,"A","chr1",20500000,20600000,-2.006655,"B",-41.232325,"AB",7.76156656222881,0.0413227741871782
"9","chr1",29600000,29700000,27.325765,"A","chr1",29600000,29700000,-9.94839,"B",-37.274155,"AB",8.6016003268129,0.02629268064928
"10","chr1",29700000,29800000,19.608955,"A","chr1",29700000,29800000,-16.22759,"B",-35.836545,"AB",15.8326910146733,0.00083997882713709
"11","chr1",29800000,29900000,16.916255,"A","chr1",29800000,29900000,-18.903265,"B",-35.81952,"AB",22.3251580687708,3.28983814150279e-05
"12","chr1",30000000,30100000,31.44301,"A","chr1",30000000,30100000,-19.49112,"B",-50.93413,"AB",77.8732631861829,6.64016480872605e-17
"13","chr1",30100000,30200000,30.964205,"A","chr1",30100000,30200000,-16.792115,"B",-47.75632,"AB",50.7858913785556,4.46062258168368e-11
"14","chr1",30200000,30300000,19.774865,"A","chr1",30200000,30300000,-22.07215,"B",-41.847015,"AB",44.8870112020045,6.59482038677256e-10
"15","chr1",30300000,30400000,12.537585,"A","chr1",30300000,30400000,-16.770445,"B",-29.30803,"AB",9.03975339579966,0.0220719090379317
"16","chr1",30400000,30500000,17.757995,"A","chr1",30400000,30500000,-23.501085,"B",-41.25908,"AB",46.9619615105948,2.40129295521836e-10
"17","chr1",30500000,30600000,16.56724,"A","chr1",30500000,30600000,-20.307295,"B",-36.874535,"AB",25.1794535669616,9.81102170286999e-06
"18","chr1",30600000,30700000,13.735265,"A","chr1",30600000,30700000,-16.589495,"B",-30.32476,"AB",9.6754370236208,0.0151803505144609
"19","chr1",30700000,30800000,11.687185,"A","chr1",30700000,30800000,-21.208115,"B",-32.8953,"AB",21.2303127008307,5.60026218240709e-05
"20","chr1",30800000,30900000,13.804195,"A","chr1",30800000,30900000,-20.08536,"B",-33.889555,"AB",21.1863337864047,6.3132014739752e-05
"21","chr1",30900000,31000000,21.107905,"A","chr1",30900000,31000000,-21.78653,"B",-42.894435,"AB",47.0648503210133,3.33900616947914e-10
"22","chr1",31000000,31100000,27.914915,"A","chr1",31000000,31100000,-15.510195,"B",-43.42511,"AB",29.9177353643761,8.94517823833977e-07
"23","chr1",31100000,31200000,35.51021,"A","chr1",31100000,31200000,-5.891845,"B",-41.402055,"AB",12.358645406685,0.00417001054013201
"24","chr1",33600000,33700000,2.128025,"A","chr1",33600000,33700000,24.559865,"A",22.43184,"AA",10.7188017276434,0.00973206201823574
"25","chr1",47300000,47400000,-0.30746,"B","chr1",47300000,47400000,-25.717805,"B",-25.410345,"BB",15.2102268009544,0.00108906416775384
"26","chr1",47400000,47500000,0.057075,"A","chr1",47400000,47500000,-25.391445,"B",-25.44852,"AB",14.7679022576945,0.0020050783088658
"27","chr1",47500000,47600000,-1.40029,"B","chr1",47500000,47600000,-26.198445,"B",-24.798155,"BB",15.1336882229783,0.00117138558873906
"28","chr1",47900000,48000000,3.15644,"A","chr1",47900000,48000000,-23.06484,"B",-26.22128,"AB",13.0251435098851,0.00342584277911424
"29","chr1",48000000,48100000,3.22916,"A","chr1",48000000,48100000,-23.856475,"B",-27.085635,"AB",14.782620961394,0.00139092822155799
"30","chr1",48100000,48200000,4.847505,"A","chr1",48100000,48200000,-24.509975,"B",-29.35748,"AB",19.4005972623887,0.00012386626239197
"31","chr1",48300000,48400000,-1.17873,"B","chr1",48300000,48400000,-21.76209,"B",-20.58336,"BB",6.95040246906252,0.0615974029413564
"32","chr1",48400000,48500000,1.1604,"A","chr1",48400000,48500000,-28.935475,"B",-30.095875,"AB",24.1068795863244,1.56557678322561e-05
"33","chr1",51300000,51400000,-18.591105,"B","chr1",51300000,51400000,13.637475,"A",32.22858,"BA",17.9935264017173,0.00038520645295709
"34","chr1",51400000,51500000,-2.50633,"B","chr1",51400000,51500000,20.580905,"A",23.087235,"BA",9.73756453126165,0.0156160746800554
"35","chr1",58300000,58400000,-4.965,"B","chr1",58300000,58400000,-24.59367,"B",-19.62867,"BB",8.36941910381051,0.0306670578652995
"36","chr1",61500000,61600000,2.80964,"A","chr1",61500000,61600000,-21.461035,"B",-24.270675,"AB",10.0542889677755,0.0100218710160895
"37","chr1",61600000,61700000,3.1796,"A","chr1",61600000,61700000,-28.95625,"B",-32.13585,"AB",29.5413780104661,1.57328941986299e-06
"38","chr1",61800000,61900000,-6.43375,"B","chr1",61800000,61900000,-25.94706,"B",-19.51331,"BB",9.00938223415499,0.0223891292362861
"39","chr1",62000000,62100000,-6.91361,"B","chr1",62000000,62100000,-25.69898,"B",-18.78537,"BB",7.41477994983972,0.0514819732933161
"40","chr1",62300000,62400000,9.026505,"A","chr1",62300000,62400000,-19.45987,"B",-28.486375,"AB",11.6744054135822,0.00653081308410653
"41","chr1",62500000,62600000,11.687835,"A","chr1",62500000,62600000,-18.56174,"B",-30.249575,"AB",12.1684862245236,0.00493939232408647
"42","chr1",63800000,63900000,-24.914805,"B","chr1",63800000,63900000,5.62886,"A",30.543665,"BA",8.47075537993221,0.0243152859988136
"43","chr1",65300000,65400000,4.04164,"A","chr1",65300000,65400000,26.06261,"A",22.02097,"AA",10.6152759818126,0.0145269489958489
"44","chr1",65400000,65500000,2.34237,"A","chr1",65400000,65500000,27.699645,"A",25.357275,"AA",15.1397460841415,0.0010597148240964
"45","chr1",65500000,65600000,-21.578195,"B","chr1",65500000,65600000,10.169945,"A",31.74814,"BA",13.6241337362838,0.00218544179507265
"46","chr1",65600000,65700000,-16.63697,"B","chr1",65600000,65700000,17.63909,"A",34.27606,"BA",24.0569245120708,1.67562793435263e-05
"47","chr1",65800000,65900000,-30.17761,"B","chr1",65800000,65900000,8.64019,"A",38.8178,"BA",21.3199539713216,5.95144206584038e-05
