"","HMECchr","HMECstart","HMECend","HMECEV","HMECcompartment","TNBCchr","TNBCstart","TNBCend","TNBCEV","TNBCcompartment","D.EV","compartment","sample_maha","padj"
"1","chr1",0,100000,0.98288,"A","chr1",0,100000,-4.529362,"B",-5.512242,"AB",0.0032690130763832,1
"2","chr1",100000,200000,1.64492,"A","chr1",100000,200000,-3.32547,"B",-4.97039,"AB",0.0131810460689467,1
"3","chr1",200000,300000,7.513485,"A","chr1",200000,300000,-4.736712,"B",-12.250197,"AB",0.208596552736124,1
"4","chr1",500000,600000,-36.263625,"B","chr1",500000,600000,-11.036734,"B",25.226891,"BB",1.70561354419027,0.950733855806821
"5","chr1",600000,700000,15.727925,"A","chr1",600000,700000,6.217904,"A",-9.510021,"AA",0.00094961445927195,1
"6","chr1",700000,800000,25.74969,"A","chr1",700000,800000,24.088642,"A",-1.661048,"AA",0.00079484915679956,1
"7","chr1",800000,900000,40.898105,"A","chr1",800000,900000,39.345218,"A",-1.552887,"AA",0.00013586321897068,1
"8","chr1",900000,1000000,48.12164,"A","chr1",900000,1000000,41.906766,"A",-6.214874,"AA",0.00251632469287338,1
"9","chr1",1000000,1100000,41.725095,"A","chr1",1000000,1100000,40.819486,"A",-0.905609000000005,"AA",0.00030497481194527,1
"10","chr1",1100000,1200000,46.07589,"A","chr1",1100000,1200000,42.346446,"A",-3.729444,"AA",9.88366564143853e-05,1
"11","chr1",1200000,1300000,44.629495,"A","chr1",1200000,1300000,41.989094,"A",-2.640401,"AA",5.10289539157381e-07,1
"12","chr1",1300000,1400000,53.96927,"A","chr1",1300000,1400000,47.155824,"A",-6.813446,"AA",0.00974573560398111,1
"13","chr1",1400000,1500000,50.480945,"A","chr1",1400000,1500000,40.11344,"A",-10.367505,"AA",0.0313033725196623,1
"14","chr1",1500000,1600000,50.572355,"A","chr1",1500000,1600000,46.173596,"A",-4.398759,"AA",0.00074528734243945,1
"15","chr1",1600000,1700000,44.849715,"A","chr1",1600000,1700000,42.300378,"A",-2.549337,"AA",5.19119368809849e-07,1
