"symbol","biotype","description"
"ABCA6","protein_coding","ATP-binding cassette, sub-family A (ABC1), member 6"
"AGBL1","protein_coding","ATP/GTP binding protein-like 1"
"AGMO","protein_coding","alkylglycerol monooxygenase"
"ATRNL1","protein_coding","attractin-like 1"
"AXIN2","protein_coding","axin 2"
"CACNB2","protein_coding","calcium channel, voltage-dependent, beta 2 subunit"
"CEP112","protein_coding","centrosomal protein 112kDa"
"COL24A1","protein_coding","collagen, type XXIV, alpha 1"
"EDA","protein_coding","ectodysplasin A"
"FAM171B","protein_coding","family with sequence similarity 171, member B"
"FBXO21","protein_coding","F-box protein 21"
"FGF12","protein_coding","fibroblast growth factor 12"
"FIRRE",NA,NA
"GABRB3","protein_coding","gamma-aminobutyric acid (GABA) A receptor, beta 3"
"GRID2","protein_coding","glutamate receptor, ionotropic, delta 2"
"GRIN2A","protein_coding","glutamate receptor, ionotropic, N-methyl D-aspartate 2A"
"HCN1","protein_coding","hyperpolarization activated cyclic nucleotide-gated potassium channel 1"
"HEPH","protein_coding","hephaestin"
"HNF4G","protein_coding","hepatocyte nuclear factor 4, gamma"
"IPW",NA,NA
"KSR2","protein_coding","kinase suppressor of ras 2"
"LINC00923","protein_coding","long intergenic non-protein coding RNA 923"
"LRP1B","protein_coding","low density lipoprotein receptor-related protein 1B"
"LRRIQ1","protein_coding","leucine-rich repeats and IQ motif containing 1"
"MCTP1","protein_coding","multiple C2 domains, transmembrane 1"
"MGAT4C","protein_coding","mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)"
"MTMR8","protein_coding","myotubularin related protein 8"
"PACRG","protein_coding","PARK2 co-regulated"
"PIGK","protein_coding","phosphatidylinositol glycan anchor biosynthesis, class K"
"PLCB4","protein_coding","phospholipase C, beta 4"
"PLCL1","protein_coding","phospholipase C-like 1"
"PRKG1","protein_coding","protein kinase, cGMP-dependent, type I"
"PTPRQ","protein_coding","protein tyrosine phosphatase, receptor type, Q"
"SLC30A10","protein_coding","solute carrier family 30, member 10"
"SNORD109B","snoRNA","small nucleolar RNA, C/D box 109B"
"STPG2-AS1","antisense","STPG2 antisense RNA 1"
"TBC1D22A","protein_coding","TBC1 domain family, member 22A"
"TCERG1L","protein_coding","transcription elongation regulator 1-like"
"TMEM232","protein_coding","transmembrane protein 232"
"XKR3","protein_coding","XK, Kell blood group complex subunit-related family, member 3"
"ZCWPW2","protein_coding","zinc finger, CW type with PWWP domain 2"
"ZNF253","protein_coding","zinc finger protein 253"
"ZNF670","protein_coding","zinc finger protein 670"
"ZNF670-ZNF695",NA,NA
"ZNF804A","protein_coding","zinc finger protein 804A"
"ZSWIM2","protein_coding","zinc finger, SWIM-type containing 2"
