BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	55750000	55760000	chr1	57050000	57060000	0.0003915157163122407	2.111212657236631
chr1	55750000	55760000	chr1	57160000	57170000	0.006748724592581378	2.111212657236631
chr1	55840000	55850000	chr1	57040000	57050000	0.048294685184624396	2.599207668339954
chr1	55950000	55960000	chr1	56360000	56370000	0.04121210405950205	2.111212657236631
chr1	55950000	55960000	chr1	57040000	57050000	0.0019188537622744025	2.599207668339954
chr1	56040000	56050000	chr1	57040000	57050000	0.02004551637502549	2.111212657236631
chr1	56180000	56190000	chr1	57040000	57050000	0.005172699782136468	2.111212657236631
chr1	56350000	56360000	chr1	57040000	57050000	0.028386195588013606	2.111212657236631
chr1	57070000	57080000	chr1	57170000	57180000	0.007460661822669953	2.599207668339954
chr1	57300000	57310000	chr1	57430000	57440000	0.0335032671064482	2.599207668339954
chr1	58980000	58990000	chr1	59110000	59120000	1.4299213998536509e-05	2.111212657236631
chr1	59230000	59240000	chr1	60180000	60190000	0.0019708571849382964	3.6758347359905126
chr1	59250000	59260000	chr1	59750000	59760000	0.006336836428220105	3.2
chr1	59250000	59260000	chr1	59480000	59490000	0.016358811724977416	2.111212657236631
chr1	59250000	59260000	chr1	59610000	59620000	0.001017212775072028	2.111212657236631
chr1	59350000	59360000	chr1	59600000	59610000	0.040917270219908375	2.111212657236631
chr1	59610000	59620000	chr1	60160000	60170000	0.011346626059080548	2.111212657236631
chr1	59620000	59630000	chr1	59750000	59760000	0.017230049707804687	2.111212657236631
chr1	59760000	59770000	chr1	60150000	60160000	0.0036262859977687465	2.111212657236631
chr1	61920000	61930000	chr1	62320000	62330000	0.007260854433833195	2.111212657236631
chr1	62130000	62140000	chr1	62300000	62310000	0.04230434846617013	2.111212657236631
chr1	62410000	62420000	chr1	62510000	62520000	0.006336836428220105	2.111212657236631
chr1	62640000	62650000	chr1	62870000	62880000	7.080578531959425e-05	2.111212657236631
chr1	62640000	62650000	chr1	63210000	63220000	0.002480378136168801	2.111212657236631
chr1	62760000	62770000	chr1	62870000	62880000	0.007558858128463708	2.111212657236631
chr1	62900000	62910000	chr1	63210000	63220000	0.001781543586535761	2.111212657236631
chr1	62970000	62980000	chr1	63210000	63220000	0.0009386810169714543	2.111212657236631
chr1	63300000	63310000	chr1	64010000	64020000	0.0224970316875379	2.111212657236631
chr1	63790000	63800000	chr1	63900000	63910000	0.00015949525682064703	2.111212657236631
chr1	63790000	63800000	chr1	63990000	64000000	0.0335032671064482	2.599207668339954
chr1	64020000	64030000	chr1	64700000	64710000	0.0001912645625813141	2.111212657236631
chr1	64080000	64090000	chr1	64600000	64610000	0.0064594731022569185	2.111212657236631
chr1	64080000	64090000	chr1	64700000	64710000	0.00015949525682064703	2.111212657236631
chr1	64150000	64160000	chr1	64600000	64610000	0.005255900124567457	2.111212657236631
chr1	64230000	64240000	chr1	64700000	64710000	0.006241341204882443	2.111212657236631
chr1	64240000	64250000	chr1	64370000	64380000	0.04630583495660164	2.111212657236631
chr1	64240000	64250000	chr1	64600000	64610000	0.0001856221077693121	2.111212657236631
chr1	64380000	64390000	chr1	64600000	64610000	0.0046863032534860275	2.111212657236631
chr1	64380000	64390000	chr1	64700000	64710000	0.0253554890850834	2.111212657236631
chr1	64610000	64620000	chr1	64700000	64710000	0.019780297973101744	2.111212657236631
chr1	64730000	64740000	chr1	65140000	65150000	0.0010973240125169148	2.111212657236631
chr1	64730000	64740000	chr1	65280000	65290000	0.003158081162585838	2.111212657236631
chr1	64740000	64750000	chr1	64950000	64960000	0.011315097819023063	2.111212657236631
chr1	65150000	65160000	chr1	65280000	65290000	0.015437335128817115	2.599207668339954
chr1	65320000	65330000	chr1	65420000	65430000	0.001017212775072028	2.111212657236631
chr1	65530000	65540000	chr1	65670000	65680000	8.658327630278739e-05	2.111212657236631
chr1	65530000	65540000	chr1	66140000	66150000	0.00011716610999319421	2.599207668339954
chr1	65700000	65710000	chr1	66150000	66160000	0.00015949525682064703	2.111212657236631
chr1	65720000	65730000	chr1	65880000	65890000	0.04656616829283318	4.222425314473262
chr1	65900000	65910000	chr1	66140000	66150000	0.0005843144798791001	2.111212657236631
chr1	66170000	66180000	chr1	66700000	66710000	7.599991266121337e-05	2.111212657236631
chr1	66170000	66180000	chr1	66910000	66920000	0.004290489427540378	2.111212657236631
chr1	66180000	66190000	chr1	66410000	66420000	0.00030633830859327915	2.111212657236631
chr1	66270000	66280000	chr1	66390000	66400000	0.03613965292487767	3.2
chr1	66420000	66430000	chr1	66700000	66710000	4.14161004380631e-06	2.111212657236631
chr1	66420000	66430000	chr1	66910000	66920000	0.0046863032534860275	2.599207668339954
chr1	66720000	66730000	chr1	67190000	67200000	0.0036729888827159215	2.111212657236631
chr1	66720000	66730000	chr1	66900000	66910000	1.5530768204818912e-06	2.111212657236631
chr1	66940000	66950000	chr1	67180000	67190000	0.003125623564984095	3.2
chr1	67230000	67240000	chr1	67450000	67460000	0.02004551637502549	2.111212657236631
chr1	67230000	67240000	chr1	67600000	67610000	0.00015949525682064703	2.111212657236631
chr1	67230000	67240000	chr1	67660000	67670000	0.01339401611664659	2.599207668339954
chr1	67460000	67470000	chr1	67610000	67620000	0.003983304741175844	2.111212657236631
chr1	67680000	67690000	chr1	67960000	67970000	0.0007820171157757099	2.111212657236631
chr1	67810000	67820000	chr1	67960000	67970000	0.0013575737278570532	2.111212657236631
chr1	68000000	68010000	chr1	68300000	68310000	0.003765805024087647	2.111212657236631
chr1	68000000	68010000	chr1	68570000	68580000	0.001948349450287235	2.111212657236631
chr1	68010000	68020000	chr1	68220000	68230000	9.369529352893793e-05	2.111212657236631
chr1	68230000	68240000	chr1	68570000	68580000	0.012026062420424232	2.111212657236631
chr1	68310000	68320000	chr1	68570000	68580000	4.14161004380631e-06	2.111212657236631
chr1	68310000	68320000	chr1	68800000	68810000	0.005172699782136468	2.111212657236631
chr1	68320000	68330000	chr1	68460000	68470000	0.0028493627609486216	2.599207668339954
chr1	68580000	68590000	chr1	68790000	68800000	2.1754211894542408e-05	2.111212657236631
chr1	68590000	68600000	chr1	68910000	68920000	0.00015949525682064703	2.111212657236631
chr1	68930000	68940000	chr1	69050000	69060000	0.0056566413162612615	2.111212657236631
chr1	68940000	68950000	chr1	70200000	70210000	0.007646819922050304	3.2
chr1	69060000	69070000	chr1	70200000	70210000	0.01589660688451224	2.599207668339954
chr1	69270000	69280000	chr1	69800000	69810000	0.03487581411516389	2.111212657236631
chr1	69280000	69290000	chr1	70190000	70200000	0.013645679858693607	2.111212657236631
chr1	70500000	70510000	chr1	70590000	70600000	0.003158081162585838	2.599207668339954
chr1	70500000	70510000	chr1	70960000	70970000	0.03191996777264861	2.599207668339954
chr1	70600000	70610000	chr1	70960000	70970000	0.0004379211341684874	2.599207668339954
chr1	70710000	70720000	chr1	70960000	70970000	0.0013575737278570532	2.111212657236631
chr1	70990000	71000000	chr1	71510000	71520000	7.599991266121337e-05	2.111212657236631
chr1	71560000	71570000	chr1	71980000	71990000	0.0011835608622008651	2.111212657236631
chr1	110080000	110090000	chr1	110310000	110320000	0.007728263059038782	2.111212657236631
chr1	110090000	110100000	chr1	110530000	110540000	0.0008674707631236443	2.111212657236631
chr1	110090000	110100000	chr1	110170000	110180000	0.00011176752934414996	2.111212657236631
chr1	110180000	110190000	chr1	110310000	110320000	4.1231367376622544e-05	2.111212657236631
chr1	110180000	110190000	chr1	110530000	110540000	0.0007159592942054602	2.111212657236631
chr1	110320000	110330000	chr1	110520000	110530000	1.8652774369520841e-07	2.111212657236631
chr1	110740000	110750000	chr1	111010000	111020000	3.8057794667620016e-05	2.599207668339954
chr1	110750000	110760000	chr1	110850000	110860000	5.843122372592039e-05	2.111212657236631
chr1	110860000	110870000	chr1	111010000	111020000	0.026878194941068686	2.111212657236631
chr1	111170000	111180000	chr1	111310000	111320000	0.04940722625443974	2.111212657236631
chr1	111760000	111770000	chr1	111870000	111880000	9.578882504820974e-05	2.111212657236631
chr1	111760000	111770000	chr1	111940000	111950000	0.0003698913607395743	2.111212657236631
chr1	112020000	112030000	chr1	112900000	112910000	0.027926222068293247	2.599207668339954
chr1	112030000	112040000	chr1	112290000	112300000	0.0002651174606751461	2.111212657236631
chr1	112040000	112050000	chr1	112190000	112200000	0.00010040977409046677	2.111212657236631
chr1	112320000	112330000	chr1	112890000	112900000	0.020048175877014962	2.599207668339954
chr1	112480000	112490000	chr1	112870000	112880000	0.03524825261860798	2.111212657236631
chr1	112930000	112940000	chr1	113010000	113020000	0.001290892926460489	2.599207668339954
chr1	112930000	112940000	chr1	113150000	113160000	0.0003452339079443867	2.111212657236631
chr1	112930000	112940000	chr1	113240000	113250000	0.00010040977409046677	2.111212657236631
chr1	113040000	113050000	chr1	113150000	113160000	9.063007812924542e-06	2.111212657236631
chr1	113040000	113050000	chr1	113240000	113250000	0.008531772535848615	2.111212657236631
chr1	113160000	113170000	chr1	113240000	113250000	0.009061771965024263	2.111212657236631
chr1	113260000	113270000	chr1	113340000	113350000	5.060790195502799e-06	2.111212657236631
chr1	113260000	113270000	chr1	113600000	113610000	0.013370671470982098	2.111212657236631
chr1	113350000	113360000	chr1	113600000	113610000	0.0038236232273324336	2.599207668339954
chr1	113420000	113430000	chr1	113580000	113590000	9.349039547301707e-06	2.111212657236631
chr1	113680000	113690000	chr1	114220000	114230000	9.343524385322748e-05	2.111212657236631
chr1	113740000	113750000	chr1	114210000	114220000	0.017953613230357175	2.111212657236631
chr1	113930000	113940000	chr1	114210000	114220000	0.0077381120567927295	2.111212657236631
chr1	114370000	114380000	chr1	114470000	114480000	0.002141360322331246	2.111212657236631
chr1	114520000	114530000	chr1	114820000	114830000	0.0007738515055487563	2.111212657236631
chr1	114880000	114890000	chr1	115200000	115210000	0.022461975229329932	3.2
chr1	114890000	114900000	chr1	115090000	115100000	0.0009554033884081651	2.111212657236631
chr1	115520000	115530000	chr1	115650000	115660000	0.0019339164224439255	2.111212657236631
chr1	115520000	115530000	chr1	116020000	116030000	0.007694943657122089	2.111212657236631
