chrn,change_position
chr1,3820000
chr1,4710000
chr1,4900000
chr1,3820000
chr1,4710000
chr1,4900000
chr1,8780000
chr1,8780000
chr1,19010000
chr1,19010000
chr1,22460000
chr1,22460000
chr1,28310000
chr1,28410000
chr1,28840000
chr1,28310000
chr1,32110000
chr1,32110000
chr1,32260000
chr1,32260000
chr1,33680000
chr1,33680000
chr1,34090000
chr1,34800000
chr1,34950000
chr1,34950000
chr1,35060000
chr1,35060000
chr1,44780000
chr1,44780000
chr1,44840000
chr1,44840000
chr1,45820000
chr1,45480000
chr1,45770000
chr1,45820000
chr1,48190000
chr1,48460000
chr1,48570000
chr1,48570000
chr1,48710000
chr1,48710000
chr1,49280000
chr1,48190000
chr1,48460000
chr1,49280000
chr1,49390000
chr1,49390000
chr1,52870000
chr1,52870000
chr1,53020000
chr1,53020000
chr1,81570000
chr1,81650000
chr1,85570000
chr1,85570000
chr1,90580000
chr1,90580000
chr1,91170000
chr1,91430000
chr1,92970000
chr1,92970000
chr1,93070000
chr1,93070000
chr1,96270000
chr1,96710000
chr1,96880000
chr1,96880000
chr1,101840000
chr1,103440000
chr1,103570000
chr1,104070000
chr1,104300000
chr1,101840000
chr1,103440000
chr1,103570000
chr1,104070000
chr1,104300000
chr1,106710000
chr1,106710000
chr1,109440000
chr1,109440000
chr1,109570000
chr1,109570000
chr1,111330000
chr1,111330000
chr1,111510000
chr1,111510000
chr1,113620000
chr1,113620000
chr1,117040000
chr1,117040000
chr1,117120000
chr1,117120000
chr1,117360000
chr1,117360000
chr1,118060000
chr1,118060000
chr1,118300000
chr1,118620000
chr1,118700000
chr1,119550000
chr1,119680000
chr1,119680000
chr1,151860000
chr1,151860000
chr1,157140000
chr1,157330000
chr1,157480000
chr1,157480000
chr1,160260000
chr1,160260000
chr1,160310000
chr1,160640000
chr1,160800000
chr1,160800000
chr1,164520000
chr1,164590000
chr1,165660000
chr1,165890000
chr1,166120000
chr1,165660000
chr1,165890000
chr1,166120000
chr1,167360000
chr1,167360000
chr1,168680000
chr1,168410000
chr1,168570000
chr1,169080000
chr1,169430000
chr1,169430000
chr1,176530000
chr1,176530000
chr1,176860000
chr1,177750000
chr1,177920000
chr1,176860000
chr1,178010000
chr1,178260000
chr1,178510000
chr1,178010000
chr1,178510000
chr1,178510000
chr1,185790000
chr1,185790000
chr1,186120000
chr1,186120000
chr1,193740000
chr1,195680000
chr1,196030000
chr1,193740000
