"symbol","biotype","description"
"ADGRV1",NA,NA
"ARHGAP15","protein_coding","Rho GTPase activating protein 15"
"ARHGEF9","protein_coding","Cdc42 guanine nucleotide exchange factor (GEF) 9"
"AUTS2","protein_coding","autism susceptibility candidate 2"
"BRD1","protein_coding","bromodomain containing 1"
"COL24A1","protein_coding","collagen, type XXIV, alpha 1"
"CPA3","protein_coding","carboxypeptidase A3 (mast cell)"
"DNAH7","protein_coding","dynein, axonemal, heavy chain 7"
"FAF1","protein_coding","Fas (TNFRSF6) associated factor 1"
"FAM171B","protein_coding","family with sequence similarity 171, member B"
"FAT4","protein_coding","FAT atypical cadherin 4"
"GULP1","protein_coding","GULP, engulfment adaptor PTB domain containing 1"
"LEPR","protein_coding","leptin receptor"
"LEPROT","protein_coding","leptin receptor overlapping transcript"
"LINC00639","lincRNA","long intergenic non-protein coding RNA 639"
"LINC02398",NA,NA
"LRP1B","protein_coding","low density lipoprotein receptor-related protein 1B"
"MGAT4C","protein_coding","mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative)"
"MSC-AS1",NA,NA
"PDE4B","protein_coding","phosphodiesterase 4B, cAMP-specific"
"SNTG1","protein_coding","syntrophin, gamma 1"
"STPG2","protein_coding","sperm-tail PG-rich repeat containing 2"
"TGFBR3","protein_coding","transforming growth factor, beta receptor III"
"ZMAT4","protein_coding","zinc finger, matrin-type 4"
