BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	55750000	55760000	chr1	57050000	57060000	0.00106540701829564	2.11121265723663
chr1	55750000	55760000	chr1	57160000	57170000	0.00674872459258138	2.11121265723663
chr1	55840000	55850000	chr1	57040000	57050000	0.0482946851846244	2.59920766833995
chr1	55950000	55960000	chr1	56360000	56370000	0.041212104059502	2.11121265723663
chr1	55950000	55960000	chr1	57040000	57050000	0.0019188537622744	2.59920766833995
chr1	56040000	56050000	chr1	57040000	57050000	0.0200455163750255	2.11121265723663
chr1	56180000	56190000	chr1	57040000	57050000	0.00517269978213647	2.11121265723663
chr1	56350000	56360000	chr1	57040000	57050000	0.0283861955880136	2.11121265723663
chr1	57070000	57080000	chr1	57170000	57180000	0.00746066182266995	2.59920766833995
chr1	57300000	57310000	chr1	57430000	57440000	0.0206864704960522	2.35521016278829
chr1	58980000	58990000	chr1	59110000	59120000	1.93451733280781e-05	2.11121265723663
chr1	59230000	59240000	chr1	60180000	60190000	0.0019708571849383	3.67583473599051
chr1	59250000	59260000	chr1	59750000	59760000	0.00633683642822011	3.2
chr1	59250000	59260000	chr1	59480000	59490000	0.0163588117249774	2.11121265723663
chr1	59250000	59260000	chr1	59610000	59620000	0.00101721277507203	2.11121265723663
chr1	59350000	59360000	chr1	59600000	59610000	0.0409172702199084	2.11121265723663
chr1	59610000	59620000	chr1	60160000	60170000	0.0113466260590805	2.11121265723663
chr1	59620000	59630000	chr1	59750000	59760000	0.0172300497078047	2.11121265723663
chr1	59760000	59770000	chr1	60150000	60160000	0.00362628599776875	2.11121265723663
chr1	61920000	61930000	chr1	62320000	62330000	0.00726085443383319	2.11121265723663
chr1	62130000	62140000	chr1	62300000	62310000	0.0423043484661701	2.11121265723663
chr1	62410000	62420000	chr1	62510000	62520000	0.00633683642822011	2.11121265723663
chr1	62640000	62650000	chr1	62870000	62880000	0.000248897557404298	2.11121265723663
chr1	62640000	62650000	chr1	63210000	63220000	0.0024803781361688	2.11121265723663
chr1	62760000	62770000	chr1	62870000	62880000	0.00679841974200301	2.11121265723663
chr1	62900000	62910000	chr1	63210000	63220000	0.00372828093175424	2.11121265723663
chr1	62970000	62980000	chr1	63210000	63220000	0.00116037888428636	2.11121265723663
chr1	63300000	63310000	chr1	64010000	64020000	0.0317121911488925	2.11121265723663
chr1	63790000	63800000	chr1	63900000	63910000	0.000641852793512616	2.11121265723663
chr1	63790000	63800000	chr1	63990000	64000000	0.0335032671064482	2.59920766833995
chr1	64020000	64030000	chr1	64700000	64710000	0.000191264562581314	2.11121265723663
chr1	64080000	64090000	chr1	64600000	64610000	0.00645947310225692	2.11121265723663
chr1	64080000	64090000	chr1	64700000	64710000	9.47660368557343e-05	2.11121265723663
chr1	64150000	64160000	chr1	64600000	64610000	0.00525590012456746	2.11121265723663
chr1	64230000	64240000	chr1	64700000	64710000	0.00624134120488244	2.11121265723663
chr1	64240000	64250000	chr1	64370000	64380000	0.0463058349566016	2.11121265723663
chr1	64240000	64250000	chr1	64600000	64610000	0.000185622107769312	2.11121265723663
chr1	64380000	64390000	chr1	64600000	64610000	0.00468630325348603	2.11121265723663
chr1	64380000	64390000	chr1	64700000	64710000	0.0253554890850834	2.11121265723663
chr1	64610000	64620000	chr1	64700000	64710000	0.0197802979731017	2.11121265723663
chr1	64730000	64740000	chr1	65140000	65150000	0.00109732401251691	2.11121265723663
chr1	64730000	64740000	chr1	65280000	65290000	0.0020218668706297	2.11121265723663
chr1	64740000	64750000	chr1	64950000	64960000	0.0113150978190231	2.11121265723663
chr1	65150000	65160000	chr1	65280000	65290000	0.00865296170270482	2.27387766093774
chr1	65320000	65330000	chr1	65420000	65430000	0.00101721277507203	2.11121265723663
chr1	65530000	65540000	chr1	65670000	65680000	0.0021441794623408	2.11121265723663
chr1	65530000	65540000	chr1	66140000	66150000	0.000117166109993194	2.59920766833995
chr1	65700000	65710000	chr1	66150000	66160000	0.000159495256820647	2.11121265723663
chr1	65720000	65730000	chr1	65880000	65890000	0.0465661682928332	4.22242531447326
chr1	65900000	65910000	chr1	66140000	66150000	0.0031338958437467	2.11121265723663
chr1	66170000	66180000	chr1	66700000	66710000	0.00853918746686785	2.11121265723663
chr1	66170000	66180000	chr1	66910000	66920000	0.00429048942754038	2.11121265723663
chr1	66180000	66190000	chr1	66410000	66420000	0.000306338308593279	2.11121265723663
chr1	66270000	66280000	chr1	66390000	66400000	0.0361396529248777	3.2
chr1	66420000	66430000	chr1	66700000	66710000	9.72241612598457e-06	2.11121265723663
chr1	66420000	66430000	chr1	66910000	66920000	0.00468630325348603	2.59920766833995
chr1	66720000	66730000	chr1	67190000	67200000	0.0120251072236428	2.11121265723663
chr1	66720000	66730000	chr1	66900000	66910000	8.73675735620546e-06	2.11121265723663
chr1	66940000	66950000	chr1	67180000	67190000	0.0218449283003312	3.15834746811016
chr1	67230000	67240000	chr1	67450000	67460000	0.0200455163750255	2.11121265723663
chr1	67230000	67240000	chr1	67600000	67610000	0.000159495256820647	2.11121265723663
chr1	67230000	67240000	chr1	67660000	67670000	0.0133940161166466	2.59920766833995
chr1	67460000	67470000	chr1	67610000	67620000	0.00354902509956764	2.11121265723663
chr1	67680000	67690000	chr1	67960000	67970000	0.00078201711577571	2.11121265723663
chr1	67810000	67820000	chr1	67960000	67970000	0.00327978284545891	2.11121265723663
chr1	68000000	68010000	chr1	68300000	68310000	0.0023730491870002	2.11121265723663
chr1	68000000	68010000	chr1	68570000	68580000	0.00194834945028724	2.11121265723663
chr1	68010000	68020000	chr1	68220000	68230000	0.000104159272799253	2.11121265723663
chr1	68230000	68240000	chr1	68570000	68580000	0.0125982805225014	2.11121265723663
chr1	68310000	68320000	chr1	68570000	68580000	0.000123470575317596	2.11121265723663
chr1	68310000	68320000	chr1	68800000	68810000	0.00517269978213647	2.11121265723663
chr1	68320000	68330000	chr1	68460000	68470000	0.00284936276094862	2.59920766833995
chr1	68580000	68590000	chr1	68790000	68800000	2.17542118945424e-05	2.11121265723663
chr1	68590000	68600000	chr1	68910000	68920000	0.000159495256820647	2.11121265723663
chr1	68930000	68940000	chr1	69050000	69060000	0.00565664131626126	2.11121265723663
chr1	68940000	68950000	chr1	70200000	70210000	0.0076468199220503	3.2
chr1	69060000	69070000	chr1	70200000	70210000	0.0158966068845122	2.59920766833995
chr1	69270000	69280000	chr1	69800000	69810000	0.0348758141151639	2.11121265723663
chr1	69280000	69290000	chr1	70190000	70200000	0.0136456798586936	2.11121265723663
chr1	70500000	70510000	chr1	70590000	70600000	0.00442077918510007	2.35521016278829
chr1	70500000	70510000	chr1	70960000	70970000	0.0319199677726486	2.59920766833995
chr1	70600000	70610000	chr1	70960000	70970000	0.000437921134168487	2.59920766833995
chr1	70710000	70720000	chr1	70960000	70970000	0.0120030936396858	2.11121265723663
chr1	70990000	71000000	chr1	71510000	71520000	0.00141056274403299	2.11121265723663
chr1	71560000	71570000	chr1	71980000	71990000	0.00118356086220087	2.11121265723663
chr1	110080000	110090000	chr1	110310000	110320000	0.00369050747833612	2.11121265723663
chr1	110090000	110100000	chr1	110530000	110540000	0.000867470763123644	2.11121265723663
chr1	110090000	110100000	chr1	110170000	110180000	0.000753618653309389	2.11121265723663
chr1	110180000	110190000	chr1	110310000	110320000	8.79682742085706e-05	2.11121265723663
chr1	110180000	110190000	chr1	110530000	110540000	0.000430524853887613	2.27387766093774
chr1	110320000	110330000	chr1	110520000	110530000	2.51788313658056e-07	2.11121265723663
chr1	110740000	110750000	chr1	111010000	111020000	3.805779466762e-05	2.59920766833995
chr1	110750000	110760000	chr1	110850000	110860000	0.000215372865377536	2.11121265723663
chr1	110860000	110870000	chr1	111010000	111020000	0.0268781949410687	2.11121265723663
chr1	111170000	111180000	chr1	111310000	111320000	0.0494072262544397	2.11121265723663
chr1	111760000	111770000	chr1	111870000	111880000	0.00070647006079969	2.11121265723663
chr1	111760000	111770000	chr1	111940000	111950000	0.000815669384662621	2.11121265723663
chr1	112020000	112030000	chr1	112900000	112910000	0.0279262220682932	2.59920766833995
chr1	112030000	112040000	chr1	112290000	112300000	0.000265117460675146	2.11121265723663
chr1	112040000	112050000	chr1	112190000	112200000	0.000708780535320818	2.11121265723663
chr1	112320000	112330000	chr1	112890000	112900000	0.020048175877015	2.59920766833995
chr1	112480000	112490000	chr1	112870000	112880000	0.035248252618608	2.11121265723663
chr1	112930000	112940000	chr1	113010000	113020000	0.00129089292646049	2.59920766833995
chr1	112930000	112940000	chr1	113150000	113160000	0.0013667473872512	2.11121265723663
chr1	112930000	112940000	chr1	113240000	113250000	0.000994342260515489	2.11121265723663
chr1	113040000	113050000	chr1	113150000	113160000	0.00315613924539954	2.11121265723663
chr1	113040000	113050000	chr1	113240000	113250000	0.00853177253584862	2.11121265723663
chr1	113160000	113170000	chr1	113240000	113250000	0.0141976109255275	2.11121265723663
chr1	113260000	113270000	chr1	113340000	113350000	6.62126306710502e-05	2.11121265723663
chr1	113260000	113270000	chr1	113600000	113610000	0.00747701620902629	2.27387766093774
chr1	113350000	113360000	chr1	113600000	113610000	0.00382362322733243	2.59920766833995
chr1	113420000	113430000	chr1	113580000	113590000	8.91814782808735e-05	2.11121265723663
chr1	113680000	113690000	chr1	114220000	114230000	9.34352438532275e-05	2.11121265723663
chr1	113740000	113750000	chr1	114210000	114220000	0.0179536132303572	2.11121265723663
