	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HMEC	chr1	0	3194.908763564029	2493	0.9773703275862551
1	HMEC	chr1	100000	834.6792912001489	2492	0.9773703275862551
2	HMEC	chr1	200000	325.19717993695525	2491	0.9773703275862551
3	HMEC	chr1	300000	204.1979614773592	2490	0.9773703275862551
4	HMEC	chr1	400000	142.13287800759738	2489	0.9773703275862551
5	HMEC	chr1	500000	104.65104857678425	2488	0.9773703275862551
6	HMEC	chr1	600000	79.70303066894829	2487	0.9773703275862551
7	HMEC	chr1	700000	63.09243608479227	2486	0.9773703275862551
8	HMEC	chr1	800000	51.65406225130925	2485	0.9773703275862551
9	HMEC	chr1	900000	42.64245533331242	2484	0.9773703275862551
10	HMEC	chr1	1000000	35.91329124362462	2483	0.9773703275862551
11	HMEC	chr1	1100000	30.471339882883743	2482	0.9773703275862551
12	HMEC	chr1	1200000	26.345482222103357	2481	0.9773703275862551
13	HMEC	chr1	1300000	23.36092211431582	2480	0.9773703275862551
14	HMEC	chr1	1400000	20.46260654511959	2479	0.9773703275862551
15	HMEC	chr1	1500000	19.878739440684452	2478	0.9773703275862551
16	HMEC	chr1	1600000	17.584962338232984	2477	0.9773703275862551
17	HMEC	chr1	1700000	14.58515529008608	2476	0.9773703275862551
18	HMEC	chr1	1800000	12.961980007261298	2475	0.9773703275862551
19	HMEC	chr1	1900000	11.820364392379268	2474	0.9773703275862551
20	HMEC	chr1	2000000	10.742994462496794	2473	0.9773703275862551
21	HMEC	chr1	2100000	9.83250591818899	2472	0.9773703275862551
22	HMEC	chr1	2200000	9.531840272590317	2471	0.9773703275862551
23	HMEC	chr1	2300000	8.749997429932789	2470	0.9773703275862551
24	HMEC	chr1	2400000	8.302496138975709	2469	0.9773703275862551
25	HMEC	chr1	2500000	7.718098478141388	2468	0.9773703275862551
26	HMEC	chr1	2600000	7.315335833959714	2467	0.9773703275862551
27	HMEC	chr1	2700000	7.0699174922227375	2466	0.9773703275862551
28	HMEC	chr1	2800000	6.606042510678936	2465	0.9773703275862551
29	HMEC	chr1	2900000	6.407740224950014	2464	0.9773703275862551
30	HMEC	chr1	3000000	6.044037117519793	2463	0.9773703275862551
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HMEC	chr2	0	3236.310772076508	2432	0.9773703275862551
1	HMEC	chr2	100000	866.932950109903	2431	0.9773703275862551
2	HMEC	chr2	200000	340.49774139095587	2430	0.9773703275862551
3	HMEC	chr2	300000	222.87059863182174	2429	0.9773703275862551
4	HMEC	chr2	400000	159.51004299294792	2428	0.9773703275862551
5	HMEC	chr2	500000	120.31684187404885	2427	0.9773703275862551
6	HMEC	chr2	600000	94.90374594411375	2426	0.9773703275862551
7	HMEC	chr2	700000	76.43869092920586	2425	0.9773703275862551
8	HMEC	chr2	800000	63.72513841754043	2424	0.9773703275862551
9	HMEC	chr2	900000	53.93958829333365	2423	0.9773703275862551
10	HMEC	chr2	1000000	45.485013094977795	2422	0.9773703275862551
11	HMEC	chr2	1100000	39.401532289392925	2421	0.9773703275862551
12	HMEC	chr2	1200000	34.63249154153012	2420	0.9773703275862551
13	HMEC	chr2	1300000	30.28279289304027	2419	0.9773703275862551
14	HMEC	chr2	1400000	26.771345207216203	2418	0.9773703275862551
15	HMEC	chr2	1500000	23.802950260068357	2417	0.9773703275862551
16	HMEC	chr2	1600000	21.283273516687398	2416	0.9773703275862551
17	HMEC	chr2	1700000	19.09983213644312	2415	0.9773703275862551
18	HMEC	chr2	1800000	17.377521808986668	2414	0.9773703275862551
19	HMEC	chr2	1900000	15.723501707389442	2413	0.9773703275862551
20	HMEC	chr2	2000000	14.390000009851931	2412	0.9773703275862551
21	HMEC	chr2	2100000	13.19137855845931	2411	0.9773703275862551
22	HMEC	chr2	2200000	12.239545681545252	2410	0.9773703275862551
23	HMEC	chr2	2300000	11.255906834935587	2409	0.9773703275862551
24	HMEC	chr2	2400000	10.652929178201502	2408	0.9773703275862551
25	HMEC	chr2	2500000	9.885113898811866	2407	0.9773703275862551
26	HMEC	chr2	2600000	9.51790898941628	2406	0.9773703275862551
27	HMEC	chr2	2700000	8.723214452613	2405	0.9773703275862551
28	HMEC	chr2	2800000	8.232447231971578	2404	0.9773703275862551
