"","HMECchr","HMECstart","HMECend","HMECEV","HMECcompartment","TNBCchr","TNBCstart","TNBCend","TNBCEV","TNBCcompartment","D.EV","compartment","sample_maha","padj"
"1","chr1",12500000,12600000,-11.809675,"B","chr1",12500000,12600000,26.821486,"A",38.631161,"BA",27.1545567435489,6.96960907570465e-06
"2","chr1",12600000,12700000,-9.633445,"B","chr1",12600000,12700000,24.147786,"A",33.781231,"BA",16.6120150422226,0.00145571792270225
"3","chr1",20300000,20400000,39.5281,"A","chr1",20300000,20400000,6.613212,"A",-32.914888,"AA",11.1322508138219,0.0125549316240833
"4","chr1",29700000,29800000,19.608955,"A","chr1",29700000,29800000,-21.252562,"B",-40.861517,"AB",21.947725129398,0.0001330290628181
"5","chr1",29800000,29900000,16.916255,"A","chr1",29800000,29900000,-25.753756,"B",-42.670011,"AB",29.4979553301366,3.19691935452741e-06
"6","chr1",30000000,30100000,31.44301,"A","chr1",30000000,30100000,-26.640978,"B",-58.083988,"AB",104.496051915875,3.72364409673264e-22
"7","chr1",30100000,30200000,30.964205,"A","chr1",30100000,30200000,-22.41391,"B",-53.378115,"AB",71.783433344884,2.61652689224284e-15
"8","chr1",30200000,30300000,19.774865,"A","chr1",30200000,30300000,-26.138226,"B",-45.913091,"AB",41.2511840010692,1.20485624988424e-08
"9","chr1",30300000,30400000,12.537585,"A","chr1",30300000,30400000,-27.156952,"B",-39.694537,"AB",19.6203316682184,0.00025562959716175
"10","chr1",30400000,30500000,17.757995,"A","chr1",30400000,30500000,-30.89609,"B",-48.654085,"AB",52.3222115138572,5.46533251043568e-11
"11","chr1",30500000,30600000,16.56724,"A","chr1",30500000,30600000,-27.047846,"B",-43.615086,"AB",31.2318645349439,1.6280597930751e-06
"12","chr1",30600000,30700000,13.735265,"A","chr1",30600000,30700000,-28.326322,"B",-42.061587,"AB",23.9118110988907,3.22354907965729e-05
"13","chr1",30700000,30800000,11.687185,"A","chr1",30700000,30800000,-29.695906,"B",-41.383091,"AB",27.565171694482,7.5216866556321e-06
"14","chr1",30800000,30900000,13.804195,"A","chr1",30800000,30900000,-26.478286,"B",-40.282481,"AB",24.6401780675229,3.35780052907194e-05
"15","chr1",30900000,31000000,21.107905,"A","chr1",30900000,31000000,-28.925456,"B",-50.033361,"AB",55.5062433837006,1.19092237051066e-11
"16","chr1",31000000,31100000,27.914915,"A","chr1",31000000,31100000,-25.750834,"B",-53.665749,"AB",64.0721753915285,1.8613775120106e-13
"17","chr1",31100000,31200000,35.51021,"A","chr1",31100000,31200000,-10.480406,"B",-45.990616,"AB",31.8496334900591,6.59032461176115e-07
"18","chr1",47900000,48000000,3.15644,"A","chr1",47900000,48000000,-25.169664,"B",-28.326104,"AB",8.15265148538894,0.0477641756510707
"19","chr1",48000000,48100000,3.22916,"A","chr1",48000000,48100000,-32.126408,"B",-35.355568,"AB",15.9786668907844,0.00134705143012332
"20","chr1",48100000,48200000,4.847505,"A","chr1",48100000,48200000,-28.488042,"B",-33.335547,"AB",13.5837877831865,0.00465388761636242
"21","chr1",50900000,51000000,-37.735635,"B","chr1",50900000,51000000,-3.003192,"B",34.732443,"BB",8.12069369277141,0.0755325483016266
"22","chr1",51000000,51100000,-31.17064,"B","chr1",51000000,51100000,5.701524,"A",36.872164,"BA",12.0280214574162,0.00885832968867905
"23","chr1",51100000,51200000,-16.28487,"B","chr1",51100000,51200000,16.809666,"A",33.094536,"BA",10.4448814466976,0.0249863947986373
"24","chr1",51300000,51400000,-18.591105,"B","chr1",51300000,51400000,19.023228,"A",37.614333,"BA",24.3897037479146,2.67542489818678e-05
"25","chr1",56200000,56300000,-14.41679,"B","chr1",56200000,56300000,18.869806,"A",33.286596,"BA",9.96972119952511,0.0350949428633906
"26","chr1",58000000,58100000,-14.974655,"B","chr1",58000000,58100000,-41.5679,"B",-26.593245,"BB",9.15333182875433,0.0330780351446482
"27","chr1",58200000,58300000,-15.42095,"B","chr1",58200000,58300000,-42.759502,"B",-27.338552,"BB",9.92107591045043,0.0324817887015516
"28","chr1",58300000,58400000,-4.965,"B","chr1",58300000,58400000,-41.336868,"B",-36.371868,"BB",24.2401692494338,4.4209875187958e-05
"29","chr1",58400000,58500000,-14.24637,"B","chr1",58400000,58500000,-41.48997,"B",-27.2436,"BB",7.55609307706296,0.0678782111462558
"30","chr1",65300000,65400000,4.04164,"A","chr1",65300000,65400000,36.659932,"A",32.618292,"AA",17.6826513309899,0.00088749570470459
"31","chr1",65400000,65500000,2.34237,"A","chr1",65400000,65500000,34.75106,"A",32.40869,"AA",16.6279069280277,0.00149438185967395
"32","chr1",65600000,65700000,-16.63697,"B","chr1",65600000,65700000,16.762322,"A",33.399292,"BA",16.5996373096451,0.00105136674282465
"33","chr1",65800000,65900000,-30.17761,"B","chr1",65800000,65900000,2.306828,"A",32.484438,"BA",14.3926478962891,0.00294762517388384
"34","chr1",65900000,66000000,-44.04852,"B","chr1",65900000,66000000,-8.762626,"B",35.285894,"BB",16.5333930020453,0.00104148995599127
"35","chr1",66200000,66300000,-47.483595,"B","chr1",66200000,66300000,-11.673104,"B",35.810491,"BB",21.4117574215475,8.85372439302537e-05
"36","chr1",66300000,66400000,-49.59277,"B","chr1",66300000,66400000,-14.545748,"B",35.047022,"BB",17.9110296826982,0.00026852591314048
"37","chr1",66400000,66500000,-48.09193,"B","chr1",66400000,66500000,-14.562808,"B",33.529122,"BB",12.1481250621621,0.00788357676363309
"38","chr1",66500000,66600000,-55.164635,"B","chr1",66500000,66600000,-12.014744,"B",43.149891,"BB",37.5200952727993,3.73376223950295e-08
"39","chr1",66600000,66700000,-51.539425,"B","chr1",66600000,66700000,-11.387014,"B",40.152411,"BB",28.6825547787638,2.75459426076814e-06
"40","chr1",66700000,66800000,-19.790675,"B","chr1",66700000,66800000,19.584614,"A",39.375289,"BA",26.2480144387348,9.74351618249853e-06
"41","chr1",66800000,66900000,-31.215175,"B","chr1",66800000,66900000,11.291394,"A",42.506569,"BA",33.2020822149949,4.39817598835429e-07
"42","chr1",77400000,77500000,-29.542685,"B","chr1",77400000,77500000,5.644504,"A",35.187189,"BA",8.34421371322076,0.0386335625479997
"43","chr1",77600000,77700000,-31.621045,"B","chr1",77600000,77700000,-0.599088,"B",31.021957,"BB",10.3541485457288,0.0236444576177668
"44","chr1",78000000,78100000,-6.14789,"B","chr1",78000000,78100000,24.514422,"A",30.662312,"BA",13.1595936294422,0.00469157239805211
