genes	logFC	logCPM	F	PValue	FDR	symbol	description	biotype	log2Average.HMEC	log2Average.TNBC	BT549_rep1	BT549_rep2	HCC70_rep1	HCC70_rep2	HMEC_rep1	HMEC_rep2	MB231_rep1	MB231_rep2	MB231_rep3
ENSG00000087494	-9.990386497364405	7.6496849569290974	471.7561844200919	7.335344960811013e-9	5.1213711749597044e-5	PTHLH	parathyroid hormone-like hormone	protein_coding	10.036331508724725	1.2059853153289102	1.148473062530248	1.1884663326677056	1.5439603338686683	1.7647825769054903	9.73562624365547	10.285041908484997	0.8091949829277355	0.7601136967848531	0.9204574753472601
ENSG00000136867	-4.136367999972778	4.993706029120732	419.1258264301527	1.0329207634330215e-8	5.1213711749597044e-5	SLC31A2	solute carrier family 31 (copper transporter), member 2	protein_coding	6.464653481127693	2.7777462782284514	3.1089596941597466	2.8605714869585186	2.401203862906492	2.565474264349089	6.511373904334701	6.4163692746882575	2.7427016864539375	2.8986415306797633	2.7573614254929777
ENSG00000145246	-2.931628334200714	5.806640911600822	417.00701982963227	1.0557125058071768e-8	5.1213711749597044e-5	ATP10D	ATPase, class V, type 10D	protein_coding	5.866171087908629	2.9714296122603585	2.8816702185739267	3.2127805988207823	3.0181414220266043	3.110229718653872	5.596829743386454	6.0930516443680265	2.5549865322931073	2.947136593069952	2.9882858616857195
ENSG00000115414	-7.853079780014374	13.488378717342037	371.1094647638067	1.8875811028808437e-8	5.1213711749597044e-5	FN1	fibronectin 1	protein_coding	13.253246707810554	5.499066699059969	5.389133091404246	5.0328503578055335	5.045174415289526	4.573911400131029	12.839255038452247	13.574546940646362	6.041038999887949	5.890007120408897	5.9057176140487355
ENSG00000115008	-9.253609912248637	6.330957554632941	376.7150653517344	1.9107121511558017e-8	5.1213711749597044e-5	IL1A	interleukin 1, alpha	protein_coding	7.760458894607936	0.4868846952603433	0.40435927988798914	0.5394517237725414	0.6587464479653165	0.6982638418946885	7.431154714124171	8.02838982279923	0.35801848419264426	0.2147378299056822	0.4746368041228118
ENSG00000169902	-3.4696498857037805	4.614953739644217	361.7163509789169	1.9462236946605536e-8	5.1213711749597044e-5	TPST1	tyrosylprotein sulfotransferase 1	protein_coding	6.055249578108168	2.7971539044639586	2.47660627688213	2.7628973355386997	2.495626869792613	2.866598655725094	6.010166367777569	6.098966555680803	3.054104372941448	2.9953535913105664	2.8254082228010975
ENSG00000018236	-13.330788497138416	4.869206562315132	370.6747458053311	2.0464435566113673e-8	5.1213711749597044e-5	CNTN1	contactin 1	protein_coding	5.232481071025021	0.006151931041092096	0	0	0	0.0425225966365222	5.093320287680916	5.359391550011792	0	0	0
ENSG00000181333	-11.952277383788974	4.86041294699169	334.66905159942564	3.156271845226395e-8	6.911446273084499e-5	HEPHL1	hephaestin-like 1	protein_coding	4.85721767175707	0.00946541053433311	0	0.015531382493853562	0.012973868545318543	0.01530778822287515	4.790140159029712	4.921314515068479	0	0	0.022266042909668795
ENSG00000122254	-12.69512739758603	4.2356885273780716	287.55001794486014	5.995111790180273e-8	1.0534960763227755e-4	HS3ST2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2	protein_coding	5.49078030572509	0.005241524983581271	0	0	0	0.036296953673702816	5.572992509137755	5.40359861409612	0	0	0
ENSG00000182667	-12.428239338959063	4.562080619952722	282.5728147460461	6.453394885351987e-8	1.0534960763227755e-4	NTM	neurotrimin	protein_coding	6.351109516594237	0.11489718384095957	0	0.22738439972462018	0.4952597782563658	0	6.221389890963029	6.470121581108051	0	0	0
ENSG00000260027	6.991554495588513	3.729346442966384	271.7734330770165	6.615171160834873e-8	1.0534960763227755e-4	HOXB7	homeobox B7	protein_coding	0.17399636229923734	4.417032154210405	4.183112241668295	4.2943602210583	4.1742944645041495	4.423868838494992	0.12390527092897873	0.2224064674785945	4.652090073612768	4.514649148866864	4.598891573222961
ENSG00000163171	-2.4481953905284235	6.399052839761749	243.38115530122946	1.0581007464404233e-7	1.544650739678611e-4	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	protein_coding	6.324505828807027	4.4198946247431214	4.298532767824596	4.114619705390334	4.2080717052628005	4.536908280074462	6.172306966699931	6.462169507159992	4.438851581872521	4.568718133368445	4.684812558261168
ENSG00000146373	-2.860112783445262	5.5404077100100215	228.4783707017038	1.3836528191288187e-7	1.8645253911922033e-4	RNF217	ring finger protein 217	protein_coding	5.209318506154029	3.18840768766038	2.491011061842065	2.535279630039292	3.5318407694159704	3.1859561575821336	5.059744231960492	5.344831768249785	3.4479500395618015	3.4807046109930173	3.270639151409003
ENSG00000005884	-3.101248351149513	9.41108373115436	224.16889849529773	1.4999865915784178e-7	1.8769117936621944e-4	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	protein_coding	10.05640365916256	6.785061025161903	7.252804168171113	7.329745573586771	6.6632476437345876	6.546337536856424	9.957934559770079	10.148579163901587	6.370045848752429	6.535789093818561	6.464025595065135
ENSG00000203306	-5.808577941215724	2.8090690384348993	209.89916472519477	1.9815818336689833e-7	2.114569650949609e-4	AP001007.1		pseudogene	4.219980981267571	0.4580016878482285	0.6149346474004829	0.3894655696676972	0.32812291070763006	0.22222652641888996	4.264617958829239	4.173918720248878	0.5224179048557331	0.45146591479230214	0.6307476721088243
ENSG00000118971	-12.889826014121448	6.46217001193313	215.27816937636953	2.0232319476297956e-7	2.114569650949609e-4	CCND2	cyclin D2	protein_coding	6.478424041517858	0.01227271549506225	0.02453803608533162	0.05002536570928255	0.010585827340692392	0	6.307308122540637	6.6313791616792654	0	0	0
ENSG00000095970	-12.004277977950107	3.5371923208676876	214.55159405247863	2.0520427027139715e-7	2.114569650949609e-4	TREM2	triggering receptor expressed on myeloid cells 2	protein_coding	6.173115794460097	0.01746606930679622	0.11804199747211384	0	0	0	6.347872033882886	5.97423525692737	0	0	0
ENSG00000171130	4.55195955218848	4.976548603262872	201.019596503216	2.3786254443109112e-7	2.1908886331081966e-4	ATP6V0E2	ATPase, H+ transporting V0 subunit e2	protein_coding	1.6026157627223965	5.575560737147205	5.713028414384475	5.554640479384981	5.46287670497349	5.122597577980517	2.0545776199535575	0.9408424497806288	5.694135488222931	5.624160786833671	5.763447850053143
ENSG00000091409	-4.495733488976817	9.085096628687083	205.554706966642	2.454326172696129e-7	2.1908886331081966e-4	ITGA6	integrin, alpha 6	protein_coding	9.091378798320818	4.776039055742685	5.34670413222568	5.193617428541736	4.307836934247277	4.708693462867175	8.899306232229085	9.26085835564354	4.288247563581441	4.70149632473226	4.522940011442535
ENSG00000212724	-10.906764915820725	4.052651294522016	204.6234917736914	2.501299957881261e-7	2.1908886331081966e-4	KRTAP2-3	keratin associated protein 2-3	protein_coding	7.072101449545183	0.0829281856378467	0.22299596842653427	0.1201594513886772	0.10183459393224233	0.1203681455854782	6.7653980779557195	7.324896041861736	0	0	0
ENSG00000069188	-8.343915514212538	4.218861012917952	188.56049717779766	3.516978000496677e-7	2.8759819202510645e-4	SDK2	sidekick cell adhesion molecule 2	protein_coding	3.5780128968911673	0.04357697404292056	0.014584036228290308	0.04389503741300825	0.04271207898167717	0.08621226020126234	3.210225492658878	3.8708298330052133	0.03511232175349316	0.04890664606648508	0.03261433032434283
ENSG00000166922	-5.976924025396934	2.179542991364663	182.04826012188659	3.6118051287546193e-7	2.8759819202510645e-4	SCG5	secretogranin V (7B2 protein)	protein_coding	5.184590995750987	0.7059273094153589	0.7409833956486074	0.3480419075502437	0.4216532328029946	0.45201699531019357	5.501320744379563	4.778175998347024	0.9851144511180521	0.6593513632183755	1.1427056979496628
ENSG00000179593	-11.515256273502887	3.6573994999995167	177.30359246598212	4.542487547492573e-7	3.4199526174914926e-4	ALOX15B	arachidonate 15-lipoxygenase, type B	protein_coding	4.697862469361363	0.011473209114879373	0.031199608182952296	0.04827643130678983	0	0	4.22551551745145	5.053114381502942	0	0	0
ENSG00000178363	-14.356105201196034	8.06904524947649	175.67192363049435	4.720190387209097e-7	3.4199526174914926e-4	CALML3	calmodulin-like 3	protein_coding	10.316315562290256	0.073151357395574	0.2546073159040979	0	0.22783227454831792	0	10.17269092398073	10.446927608834898	0	0	0
ENSG00000163513	-2.8562005720420043	7.285145700339472	168.55211768599509	4.990715819954015e-7	3.4199526174914926e-4	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	protein_coding	6.900933704511856	4.350497002619609	4.6644950150674465	4.700089708563465	4.021024391058874	4.087344891308925	6.788453765838914	7.005274846831014	4.241821941269872	4.310927964658007	4.281307813510462
