"symbol","biotype","description"
"ALDH1A2","protein_coding","aldehyde dehydrogenase 1 family, member A2"
"ANKRD31","protein_coding","ankyrin repeat domain 31"
"APP","protein_coding","amyloid beta (A4) precursor protein"
"ARL15","protein_coding","ADP-ribosylation factor-like 15"
"CGNL1","protein_coding","cingulin-like 1"
"CRYBB1","protein_coding","crystallin, beta B1"
"DGKG","protein_coding","diacylglycerol kinase, gamma 90kDa"
"DNAH8","protein_coding","dynein, axonemal, heavy chain 8"
"EDAR","protein_coding","ectodysplasin A receptor"
"FRAS1","protein_coding","Fraser syndrome 1"
"FRMPD1","protein_coding","FERM and PDZ domain containing 1"
"GCOM1","protein_coding","GRINL1A complex locus 1"
"GLUD1P2","pseudogene","glutamate dehydrogenase 1 pseudogene 2"
"GZMA","protein_coding","granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)"
"HMGA2","protein_coding","high mobility group AT-hook 2"
"IL26","protein_coding","interleukin 26"
"IRAK3","protein_coding","interleukin-1 receptor-associated kinase 3"
"LEF1","protein_coding","lymphoid enhancer-binding factor 1"
"LIPE-AS1","antisense","LIPE antisense RNA 1"
"MAMDC2","protein_coding","MAM domain containing 2"
"MAP3K21",NA,NA
"MSRB3","protein_coding","methionine sulfoxide reductase B3"
"NMNAT3","protein_coding","nicotinamide nucleotide adenylyltransferase 3"
"OTOA","protein_coding","otoancorin"
"PLXNA2","protein_coding","plexin A2"
"POLR2M","protein_coding","polymerase (RNA) II (DNA directed) polypeptide M"
"PTPN20",NA,NA
"RAD51AP2","protein_coding","RAD51 associated protein 2"
"RPSAP52","pseudogene","ribosomal protein SA pseudogene 52"
"SCNN1G","protein_coding","sodium channel, non-voltage-gated 1, gamma subunit"
"SKAP2","protein_coding","src kinase associated phosphoprotein 2"
"SUGCT","protein_coding","succinylCoA:glutarate-CoA transferase"
"TCHH","protein_coding","trichohyalin"
"TFIP11","protein_coding","tuftelin interacting protein 11"
"USP31","protein_coding","ubiquitin specific peptidase 31"
"WIF1","protein_coding","WNT inhibitory factor 1"
