,chr,HMEC_A,HMEC_B,TNBC_A,TNBC_B,Percent_AA,Percent_BB,Percent_AB,Percent_BA,Number_HMEC_A,Number_HMEC_B,Number_TNBC_A,Number_TNBC_B,Number_AA,Number_BB,Number_AB,Number_BA,ABmin,ABmean,ABmax,BAmin,BAmean,BAmax
1,chr1,47.14,44.21,44.77,46.58,38.48,37.89,8.67,6.3,1175,1102,1116,1161,959,945,216,157,1,2.73,15,1,2.21,10
2,chr2,50.95,47.25,48.89,49.3,43.5,41.86,7.44,5.39,1239,1149,1189,1199,1058,1018,181,131,1,2.62,17,1,2.02,10
3,chr3,49.24,49.19,44.39,54.03,38.28,43.08,10.96,6.11,975,974,879,1070,758,853,217,121,1,3.44,16,1,2.16,9
4,chr4,46.45,51.84,41.85,56.45,35.99,45.98,10.46,5.86,888,991,800,1079,688,879,200,112,1,2.25,13,1,1.9,8
5,chr5,49.53,48.64,44.88,53.28,39.52,43.28,10,5.36,896,880,812,964,715,783,181,97,1,2.74,16,1,1.54,6
6,chr6,54.58,43.42,47.69,50.32,41.78,37.52,12.8,5.9,934,743,816,861,715,642,219,101,1,3.27,16,1,2.35,15
7,chr7,47.82,50.21,43.04,54.98,38.46,45.58,9.36,4.59,761,799,685,875,612,726,149,73,1,3.04,16,1,1.52,5
8,chr8,48.92,48.85,42.98,54.79,38.3,44.2,10.59,4.65,716,715,629,802,561,647,155,68,1,2.42,11,1,1.79,9
9,chr9,45.75,40.86,44.05,42.56,39.51,36.33,6.23,4.53,646,577,622,601,558,513,88,64,1,2,11,1,1.52,6
10,chr10,52.83,44.79,47.44,50.17,41.69,38.98,11.14,5.75,716,607,643,680,565,529,151,78,1,2.96,22,1,1.73,9
11,chr11,49.26,48.07,44.96,52.37,39.48,42.59,9.78,5.48,665,649,607,707,533,575,132,74,1,2.44,8,1,2.18,10
12,chr12,51.55,46.17,47.52,50.2,40.53,39.22,10.98,6.95,690,618,636,672,543,525,147,93,1,3.2,14,1,2.51,10
13,chr13,42.81,40.46,36.12,47.15,32.71,37.08,10.07,3.39,493,466,416,543,377,427,116,39,1,3.22,18,1,1.7,8
14,chr14,40.52,41.64,34.65,47.51,32.79,39.78,7.73,1.86,435,447,372,510,352,427,83,20,1,2.24,5,1,1.54,5
15,chr15,43.99,35.99,38.13,41.84,34.43,32.28,9.56,3.64,451,369,391,429,353,331,98,38,1,2.39,9,1,1.38,4
16,chr16,45.16,42.61,39.62,48.14,37.74,40.73,7.42,1.88,408,385,358,435,341,368,67,17,1,2.09,11,1,1.89,5
17,chr17,54.07,42.12,53.82,42.37,49.76,38.06,4.31,4.06,439,342,437,344,404,309,35,33,1,1.67,3,1,1.32,7
18,chr18,46.75,48.03,41.11,53.66,35.06,42.01,11.66,6.02,365,375,321,419,274,328,91,47,1,3.14,9,1,1.74,4
19,chr19,48.88,46,47.35,47.52,44.19,42.96,4.57,3.04,289,272,280,281,262,254,27,18,1,2.45,9,1,2.25,6
20,chr20,51.73,43.16,47.44,47.44,44.59,40.3,7.14,2.86,326,272,299,299,281,254,45,18,1,1.96,8,1,1.5,4
21,chr21,41.14,32.83,35.53,38.44,24.93,22.23,16.21,10.45,198,158,171,185,120,107,78,51,1,3.9,18,0,3.59,29
22,chr22,45.22,23,37.03,31.19,34.11,20.08,11.11,2.92,232,118,190,160,175,103,57,15,1,2.59,13,1,1.88,4
23,chrX,55.19,40.7,45.15,50.75,36.9,32.46,18.29,8.24,857,632,701,788,573,504,284,128,1,4,30,1,2.56,13
,,,,,,,,,,14794,13640,13370,15064,11777,12047,3017,1593,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,HMEC,TNBC,SwitchType,SwitchN,,,,,,,,,,,,,
,,,,,,,A,A,AA,11777,355,,,,,,,,,,,,
,,,,,,,A,B,AB,3017,1081,,,,,,,,,,,,
,,,,,,,B,A,BA,1593,501,,,,,,,,,,,,
,,,,,,,B,B,BB,12047,403,,,,,,,,,,,,
,,,,,,,HMEC,TNBC,SwitchType,SwitchN,,,,,,,,,,,,,
,,,,,,,A,A,AA,355,,,,,,,,,,,,,
,,,,,,,A,B,AB,1081,,,,,,,,,,,,,
,,,,,,,B,A,BA,501,,,,,,,,,,,,,
,,,,,,,B,B,BB,403,,,,,,,,,,,,,
