BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	110090000	110100000	chr1	110540000	110550000	0.002582054542406086	2.111212657236631
chr1	110080000	110090000	chr1	110310000	110320000	0.0025052709382097794	2.111212657236631
chr1	110180000	110190000	chr1	110310000	110320000	9.011796820146412e-05	2.111212657236631
chr1	110180000	110190000	chr1	110530000	110540000	0.00048096216755860044	2.599207668339954
chr1	110320000	110330000	chr1	110520000	110530000	2.490937079935307e-07	2.111212657236631
chr1	110590000	110600000	chr1	111010000	111020000	0.013572106054066805	3.2
chr1	110700000	110710000	chr1	111290000	111300000	0.04622285507475509	3.2
chr1	110730000	110740000	chr1	111010000	111020000	2.3487139353450817e-05	2.111212657236631
chr1	110750000	110760000	chr1	110850000	110860000	3.111633586350138e-06	2.111212657236631
chr1	111160000	111170000	chr1	111320000	111330000	6.904540000463033e-05	2.111212657236631
chr1	111540000	111550000	chr1	112320000	112330000	0.013980880342541267	2.111212657236631
chr1	111550000	111560000	chr1	111870000	111880000	0.03367180787627498	2.111212657236631
chr1	111750000	111760000	chr1	112300000	112310000	0.010467189012994912	2.111212657236631
chr1	111760000	111770000	chr1	111870000	111880000	0.0013171512965511703	2.111212657236631
chr1	111760000	111770000	chr1	111950000	111960000	0.0026335770028199936	2.111212657236631
chr1	111950000	111960000	chr1	112310000	112320000	0.049185743361560307	2.111212657236631
chr1	112020000	112030000	chr1	112290000	112300000	9.011796820146412e-05	2.111212657236631
chr1	112040000	112050000	chr1	112190000	112200000	0.0013171512965511703	2.111212657236631
chr1	112920000	112930000	chr1	113250000	113260000	0.00015449974447476756	2.111212657236631
chr1	112930000	112940000	chr1	113000000	113010000	0.0001602550856373286	2.111212657236631
chr1	112930000	112940000	chr1	113150000	113160000	0.0010768539326983873	2.111212657236631
chr1	113040000	113050000	chr1	113150000	113160000	0.006303215482986146	2.111212657236631
chr1	113250000	113260000	chr1	114350000	114360000	0.04746387306805228	2.111212657236631
chr1	113260000	113270000	chr1	113340000	113350000	7.018509021040897e-05	2.111212657236631
chr1	113260000	113270000	chr1	113600000	113610000	0.0073693563489576	2.599207668339954
chr1	113350000	113360000	chr1	113590000	113600000	0.0004623894309518319	2.111212657236631
chr1	113420000	113430000	chr1	113580000	113590000	0.00014951706394875395	2.111212657236631
chr1	113610000	113620000	chr1	114220000	114230000	0.028135485592985024	2.111212657236631
chr1	113620000	113630000	chr1	114480000	114490000	0.03361790694211151	2.111212657236631
chr1	113680000	113690000	chr1	114210000	114220000	0.00015918084897403872	2.111212657236631
chr1	114370000	114380000	chr1	114450000	114460000	0.00033702075800754003	2.111212657236631
chr1	114510000	114520000	chr1	114950000	114960000	0.013686425991365858	2.111212657236631
