BIN1_CHR	BIN1_START	BIN1_END	BIN2_CHROMOSOME	BIN2_START	BIN2_END	FDR	DETECTION_SCALE
chr1	110080000	110090000	chr1	110310000	110320000	0.0008379884377597879	2.111212657236631
chr1	110090000	110100000	chr1	110540000	110550000	0.00012339201160723893	2.111212657236631
chr1	110090000	110100000	chr1	110170000	110180000	0.0013954697772746274	2.111212657236631
chr1	110180000	110190000	chr1	110310000	110320000	0.00013255548704762531	2.111212657236631
chr1	110180000	110190000	chr1	110530000	110540000	9.465309989877824e-05	2.111212657236631
chr1	110320000	110330000	chr1	110520000	110530000	3.1974348928542896e-07	2.111212657236631
chr1	110600000	110610000	chr1	111010000	111020000	0.022492125444831097	3.2
chr1	110730000	110740000	chr1	111010000	111020000	0.0007157831232289524	4.222425314473262
chr1	110750000	110760000	chr1	110850000	110860000	0.0005845757388203372	2.111212657236631
chr1	111160000	111170000	chr1	111310000	111320000	0.025778100787686872	2.111212657236631
chr1	111170000	111180000	chr1	111550000	111560000	0.02213118296149119	2.111212657236631
chr1	111760000	111770000	chr1	111940000	111950000	0.0012614474085856685	2.111212657236631
chr1	111760000	111770000	chr1	112310000	112320000	0.04680469821287971	2.111212657236631
chr1	112030000	112040000	chr1	112300000	112310000	0.00018175384527440106	2.111212657236631
chr1	112050000	112060000	chr1	112190000	112200000	9.465309989877824e-05	2.111212657236631
chr1	112930000	112940000	chr1	113000000	113010000	0.001882978254818519	2.111212657236631
chr1	112930000	112940000	chr1	113150000	113160000	0.002678154321110827	2.111212657236631
chr1	112930000	112940000	chr1	113240000	113250000	0.0018882747469405102	2.111212657236631
chr1	113160000	113170000	chr1	113240000	113250000	0.019333449886030717	2.111212657236631
chr1	113260000	113270000	chr1	113340000	113350000	0.00012339201160723893	2.111212657236631
chr1	113260000	113270000	chr1	113600000	113610000	0.0016910208071391668	2.111212657236631
chr1	113350000	113360000	chr1	113590000	113600000	0.002739497668729385	2.111212657236631
chr1	113420000	113430000	chr1	113580000	113590000	0.00010867833134656477	2.111212657236631
chr1	113680000	113690000	chr1	114210000	114220000	0.00030999178883348575	2.111212657236631
chr1	114370000	114380000	chr1	114480000	114490000	0.0133873121257706	2.111212657236631
chr1	114520000	114530000	chr1	114820000	114830000	0.0066041420653791955	2.111212657236631
chr1	114890000	114900000	chr1	115100000	115110000	0.011471618200715027	2.111212657236631
chr1	114970000	114980000	chr1	115100000	115110000	0.010274751356218042	2.599207668339954
chr1	115520000	115530000	chr1	115650000	115660000	0.0005497190723698761	2.111212657236631
chr1	115520000	115530000	chr1	116130000	116140000	0.0030658285652343555	2.111212657236631
chr1	115670000	115680000	chr1	116130000	116140000	0.00026250400336913987	2.111212657236631
chr1	115670000	115680000	chr1	116010000	116020000	0.00030999178883348575	2.111212657236631
chr1	116150000	116160000	chr1	116300000	116310000	0.00023744134952607965	2.111212657236631
chr1	116160000	116170000	chr1	116240000	116250000	0.019158832362550834	2.111212657236631
chr1	116340000	116350000	chr1	116520000	116530000	0.038580530240902834	2.111212657236631
chr1	116350000	116360000	chr1	117030000	117040000	0.024838986407734184	2.111212657236631
chr1	116680000	116690000	chr1	117030000	117040000	1.0964469652208209e-06	2.111212657236631
chr1	116680000	116690000	chr1	117590000	117600000	0.0045666452981155655	2.111212657236631
chr1	117120000	117130000	chr1	117590000	117600000	0.00013465389984901321	2.111212657236631
chr1	117280000	117290000	chr1	117590000	117600000	0.00012339201160723893	2.111212657236631
chr1	117390000	117400000	chr1	117580000	117590000	0.021359682666430426	2.111212657236631
chr1	117610000	117620000	chr1	118450000	118460000	0.012443786998624822	2.111212657236631
chr1	117620000	117630000	chr1	117820000	117830000	0.012443786998624822	2.599207668339954
chr1	118060000	118070000	chr1	118300000	118310000	9.465309989877824e-05	2.111212657236631
chr1	118060000	118070000	chr1	118430000	118440000	0.0018882747469405102	2.111212657236631
chr1	118300000	118310000	chr1	118430000	118440000	0.016386768207459785	2.111212657236631
chr1	118690000	118700000	chr1	119520000	119530000	0.03420454041120884	3.2
chr1	75240000	75250000	chr1	75660000	75670000	0.0003125193286893646	2.111212657236631
chr1	75720000	75730000	chr1	76080000	76090000	0.033536905862711144	3.2
chr1	76620000	76630000	chr1	77600000	77610000	0.003893092510372028	2.111212657236631
chr1	77360000	77370000	chr1	77590000	77600000	0.01854177307030341	2.111212657236631
chr1	77610000	77620000	chr1	77990000	78000000	0.010935843226320411	2.599207668339954
chr1	77610000	77620000	chr1	78140000	78150000	0.019871228813602586	2.111212657236631
chr1	78180000	78190000	chr1	78380000	78390000	0.0031433097017276868	3.2
chr1	78470000	78480000	chr1	78570000	78580000	0.0006615952511270784	2.599207668339954
chr1	78590000	78600000	chr1	79140000	79150000	0.002561042770569915	2.599207668339954
chr1	78600000	78610000	chr1	78900000	78910000	0.0224932724616766	2.111212657236631
chr1	78600000	78610000	chr1	79070000	79080000	1.4856682168495894e-05	2.111212657236631
chr1	84380000	84390000	chr1	84900000	84910000	0.015268135782452112	3.2
chr1	84380000	84390000	chr1	85070000	85080000	0.011755732641375357	2.111212657236631
chr1	84380000	84390000	chr1	85220000	85230000	0.0013062002665410882	2.111212657236631
chr1	84390000	84400000	chr1	84580000	84590000	3.032853189588458e-05	2.111212657236631
chr1	84600000	84610000	chr1	85070000	85080000	0.014707201408300941	2.111212657236631
chr1	84600000	84610000	chr1	85220000	85230000	0.007893390633921471	2.111212657236631
chr1	84610000	84620000	chr1	84890000	84900000	0.002561042770569915	2.111212657236631
chr1	84900000	84910000	chr1	85220000	85230000	0.04268148159202595	2.111212657236631
chr1	85080000	85090000	chr1	85210000	85220000	0.044316029042328446	2.111212657236631
chr1	85240000	85250000	chr1	85380000	85390000	0.00704978638645851	2.599207668339954
chr1	85410000	85420000	chr1	85720000	85730000	0.0005532906742170075	2.111212657236631
chr1	85570000	85580000	chr1	85710000	85720000	0.0006615952511270784	2.111212657236631
chr1	85760000	85770000	chr1	86160000	86170000	5.0883794549072546e-05	2.111212657236631
chr1	85770000	85780000	chr1	85950000	85960000	0.0224932724616766	2.599207668339954
chr1	85780000	85790000	chr1	86040000	86050000	0.001990841402551503	2.111212657236631
chr1	86060000	86070000	chr1	86140000	86150000	0.005852149868370167	2.111212657236631
chr1	86170000	86180000	chr1	86340000	86350000	0.005851810902105625	2.111212657236631
chr1	86850000	86860000	chr1	86960000	86970000	0.028055955126747054	2.599207668339954
chr1	86840000	86850000	chr1	87200000	87210000	0.014766244613852168	2.111212657236631
chr1	87300000	87310000	chr1	87430000	87440000	0.004775807758648824	2.111212657236631
chr1	87300000	87310000	chr1	87550000	87560000	0.004775807758648824	2.111212657236631
