chrn,change_position
chr1,6040000
chr1,6520000
chr1,11320000
chr1,11320000
chr1,41720000
chr1,41720000
chr1,42280000
chr1,42280000
chr1,54520000
chr1,54520000
chr1,76640000
chr1,76640000
chr1,83240000
chr1,83240000
chr1,87760000
chr1,88560000
chr1,89080000
chr1,87760000
chr1,96360000
chr1,96360000
chr1,99960000
chr1,99960000
chr1,164520000
chr1,164520000
chr1,167040000
chr1,167040000
chr1,168320000
chr1,168320000
chr1,175320000
chr1,175880000
chr1,188520000
chr1,188760000
chr1,189680000
chr1,187400000
chr1,187920000
chr1,188520000
chr1,188760000
chr1,189680000
chr1,191080000
chr1,191080000
chr1,200240000
chr1,198680000
chr1,199640000
chr1,200240000
chr1,226800000
chr1,226800000
chr1,227080000
chr1,227080000
chr1,239560000
chr1,239560000
chr2,16080000
chr2,16080000
chr2,16680000
chr2,16960000
chr2,17520000
chr2,17520000
chr2,18360000
chr2,18360000
chr2,21600000
chr2,23400000
chr2,23600000
chr2,23600000
chr2,34280000
chr2,34840000
chr2,44600000
chr2,44600000
chr2,46680000
chr2,46680000
chr2,46840000
chr2,46840000
chr2,54320000
chr2,54320000
chr2,61720000
chr2,61720000
chr2,72040000
chr2,72040000
chr2,115360000
chr2,115360000
chr2,123200000
chr2,123200000
chr2,124400000
chr2,124760000
chr2,138240000
chr2,137160000
chr2,137680000
chr2,138240000
chr2,139120000
chr2,139120000
chr2,147800000
chr2,146520000
chr2,147480000
chr2,147800000
chr2,151480000
chr2,151480000
chr2,166240000
chr2,166240000
chr2,166560000
chr2,166560000
chr2,181400000
chr2,181400000
chr2,197360000
chr2,197360000
chr2,220960000
chr2,220960000
chr2,227000000
chr2,227000000
chr2,232680000
chr2,232680000
chr3,4040000
chr3,4040000
chr3,5280000
chr3,5280000
chr3,34760000
chr3,34760000
chr3,36000000
chr3,36000000
chr3,38040000
chr3,38040000
chr3,71920000
chr3,72360000
chr3,73920000
chr3,74720000
chr3,76200000
chr3,77040000
chr3,82760000
chr3,81400000
chr3,82240000
chr3,82760000
chr3,85880000
chr3,85880000
chr3,87560000
chr3,87560000
chr3,98320000
chr3,98320000
chr3,103040000
chr3,103040000
chr3,105400000
chr3,105400000
chr3,118840000
chr3,118840000
chr3,122440000
chr3,121240000
chr3,122120000
chr3,122440000
chr3,143680000
chr3,143680000
chr3,191600000
chr3,191600000
chr3,192760000
chr3,192760000
chr4,19840000
chr4,20240000
chr4,20720000
chr4,19840000
chr4,25000000
chr4,23160000
chr4,24480000
chr4,25000000
chr4,28200000
chr4,28720000
chr4,32320000
chr4,32320000
chr4,39440000
chr4,40000000
chr4,67080000
chr4,67080000
chr4,70760000
chr4,70760000
chr4,73360000
chr4,73360000
chr4,75240000
chr4,75240000
chr4,95120000
chr4,95520000
chr4,96080000
chr4,95120000
chr4,111920000
chr4,112200000
chr4,120200000
chr4,120200000
chr4,121600000
chr4,121600000
chr4,149920000
chr4,149920000
chr4,169440000
chr4,169440000
chr4,171480000
chr4,171480000
chr4,177680000
chr4,177680000
chr4,182840000
chr4,182840000
chr5,60640000
chr5,60640000
chr5,71840000
chr5,71840000
chr5,83560000
chr5,83560000
chr5,83800000
chr5,84360000
chr5,102560000
chr5,102560000
chr5,103760000
chr5,103760000
chr5,107480000
chr5,107480000
chr5,113400000
chr5,113800000
chr5,127840000
chr5,127840000
chr5,138280000
chr5,138600000
chr5,155040000
chr5,156560000
chr5,157160000
chr5,155040000
chr6,4280000
chr6,5040000
chr6,45040000
chr6,45040000
chr6,83320000
chr6,83320000
chr6,86400000
chr6,86400000
chr6,86920000
chr6,86920000
chr6,101560000
chr6,101560000
chr6,105520000
chr6,105520000
chr6,108000000
chr6,108200000
chr6,114680000
chr6,115040000
chr6,116240000
chr6,116240000
chr6,118160000
chr6,118160000
chr6,120320000
chr6,120720000
chr6,124320000
chr6,124320000
chr6,124720000
chr6,124720000
chr6,130640000
chr6,130640000
chr6,138880000
chr6,138880000
chr6,140200000
chr6,140200000
chr6,143000000
chr6,143000000
chr6,143280000
chr6,143280000
chr6,152000000
chr6,152000000
chr6,153040000
chr6,153320000
chr6,153560000
chr6,153040000
chr6,158080000
chr6,158080000
chr6,159120000
chr6,159120000
chr6,161120000
chr6,161120000
chr7,14040000
chr7,14040000
chr7,14480000
chr7,14480000
chr7,37560000
chr7,37560000
chr7,40160000
chr7,40800000
chr7,48960000
chr7,48960000
chr7,84840000
chr7,84840000
chr7,94320000
chr7,94320000
chr7,99480000
chr7,99680000
chr7,113080000
chr7,113360000
chr7,122200000
chr7,122800000
chr7,123520000
chr7,123760000
chr7,124440000
chr7,123520000
chr7,128800000
chr7,128800000
chr7,132920000
chr7,132000000
chr7,132400000
chr7,132920000
chr7,136080000
chr7,136840000
chr8,3200000
chr8,3200000
chr8,4880000
